utt_id,dataset,speaker,accent,cefr,condition,mode,chunk_ms,left_ctx_ms,ref_text,hyp_text,duration_s,wer,cer,n_ref_words,substitutions,deletions,insertions,proc_time_s,rtf,mean_chunk_proc_s,algorithmic_latency_ms
svarah_00487,svarah,,Odia,,offline,offline,,,"Simon Commission, was a group of seven Members of Parliament under the chairmanship of Sir John Simon.","known as the Simon Commission, was a group of seven members of Parliament under the Chairmanship of Sergeant John Simon.",8.45,0.23529411764705882,0.19,17,1,0,3,0.2164,0.0256,,
svarah_00514,svarah,,Dogri,,offline,offline,,,And it's highly impacted our business.,and it has all impacted our business.,2.347,0.5,0.1891891891891892,6,2,0,1,0.1591,0.0678,,
svarah_00515,svarah,,Odia,,offline,offline,,,The role of the members of the legislative assembly,the role of the members of the Legislative Assembly.,3.34,0.0,0.0,9,0,0,0,0.1697,0.0508,,
svarah_00541,svarah,,Gujarati,,offline,offline,,,handle codes of conduct and there is one to investigate into Corruption into selections and one is I think,handle codes of conduct and there is one to investigate in two selections and one is I,9.756,0.21052631578947367,0.19811320754716982,19,2,2,0,0.3465,0.0355,,
svarah_00544,svarah,,Gujarati,,offline,offline,,,and the social is like disconnect between upper class and lower class,and the social is like disconnect between upper class and lower class,4.954,0.0,0.0,12,0,0,0,0.1788,0.0361,,
svarah_00601,svarah,,Konkani,,offline,offline,,,Why did it take 8 hours to deliver my order when I was told that it would be delivered in 7 minutes,Why did it take 8 hours to deliver my order when I was told that it would be delivered in 7 minutes?,7.523,0.0,0.0,22,0,0,0,0.2212,0.0294,,
svarah_00605,svarah,,Urdu,,offline,offline,,,"Show my APY pension amount,",Show my APY pension amount.,2.439,0.0,0.0,5,0,0,0,0.1555,0.0638,,
svarah_00606,svarah,,Dogri,,offline,offline,,,"Yes, I had","Yes, I had.",1.185,0.0,0.0,3,0,0,0,0.1505,0.1271,,
svarah_00688,svarah,,Bodo,,offline,offline,,,those places,those places.,1.2,0.0,0.0,2,0,0,0,0.129,0.1075,,
svarah_00690,svarah,,Bengali,,offline,offline,,,Please show me the reciept of my Credit Card bill.,Please show me the receipt of my credit card bill.,3.862,0.1,0.04081632653061224,10,1,0,0,0.1729,0.0448,,
svarah_00697,svarah,,Punjabi,,offline,offline,,,"Yelaneeru Ghat in Kudremukh in Chikkamagaluru district of Karnataka, India","Yela Nehru Ghat in Kudramuk in Chikmagluru district of Karnataka, India.",5.998,0.4,0.0958904109589041,10,3,0,1,0.2244,0.0374,,
svarah_00720,svarah,,Assamese,,offline,offline,,,My passion for riding bikes existed probably since I saw my grandfather's old RX100 Then came the movie Dhoom and I was probably 12 years old by then,My passion for riding bikes existed probably since I saw my grandfather's old RX100. Then came the movie Two Men. I was probably 12 years old by then.,10.538,0.07142857142857142,0.040268456375838924,28,2,0,0,0.2872,0.0273,,
svarah_00721,svarah,,Nepali,,offline,offline,,,Are thers any nearby vaccination center,Are there any nearby vaccination center?,2.466,0.16666666666666666,0.02564102564102564,6,1,0,0,0.1599,0.0649,,
svarah_00722,svarah,,Malayalam,,offline,offline,,,how is the traffic around city center,How is the traffic around cities and earth?,2.421,0.42857142857142855,0.2702702702702703,7,2,0,1,0.1838,0.0759,,
svarah_00732,svarah,,Gujarati,,offline,offline,,,"Even from young age,like, students from standard 8, 9 are also taught how they will get job or how they will set up business",Even from young age like students from standard 8 -9 I also taught how they will get job or how they will set up business.,10.023,0.04,0.02459016393442623,25,1,0,0,0.3828,0.0382,,
svarah_00801,svarah,,Sindhi,,offline,offline,,,post exercise and provide a kind of mental clarity,post exercise and provide a kind of mental clarity.,5.435,0.0,0.0,9,0,0,0,0.2683,0.0494,,
svarah_00813,svarah,,Odia,,offline,offline,,,"Rather, there are several several local stories and several legends which are from each of the former princely states.",But rather there are several local stories and several legends which are from each of the former princely states.,14.466,0.10526315789473684,0.10344827586206896,19,0,1,1,0.3268,0.0226,,
svarah_00814,svarah,,Malayalam,,offline,offline,,,Always check a company's stock price performance and fundamental stability before investing in them.,"Always check a company's stock price, performance and fundamental stability before investing in them.",7.521,0.0,0.0,14,0,0,0,0.3195,0.0425,,
svarah_00836,svarah,,Telugu,,offline,offline,,,It's beautiful.,It's beautiful.,2.04,0.0,0.0,2,0,0,0,0.2221,0.1088,,
svarah_00878,svarah,,Odia,,offline,offline,,,and there is Konar Chandrabhaga beach.,and there's Konaar Chandra Bhaagha Beach.,3.92,0.6666666666666666,0.16216216216216217,6,4,0,0,0.2542,0.0648,,
svarah_00887,svarah,,Konkani,,offline,offline,,,Long drives are his first love and I would say I am a professional passenger.,Long drives is forced love and I would say I am a professional passenger.,5.12,0.2,0.11842105263157894,15,2,1,0,0.2744,0.0536,,
svarah_00898,svarah,,Konkani,,offline,offline,,,Start a new email to George Brown,Start a new email to George Brown.,2.8,0.0,0.0,7,0,0,0,0.1981,0.0707,,
svarah_00921,svarah,,Kannada,,offline,offline,,,as face packs or hair packs.,as face bags or hair bags.,3.403,0.3333333333333333,0.2222222222222222,6,2,0,0,0.1804,0.053,,
svarah_00938,svarah,,Bengali,,offline,offline,,,I love doing nature photography.,I love doing nature photography.,3.16,0.0,0.0,5,0,0,0,0.231,0.0731,,
svarah_00950,svarah,,Urdu,,offline,offline,,,What's the brokarage rate for investing in stocks through Repco Finance,What's the brokerage rate for investing in stocks through Repco Finance?,4.414,0.09090909090909091,0.014084507042253521,11,1,0,0,0.2013,0.0456,,
svarah_00964,svarah,,Gujarati,,offline,offline,,,I do much Riyaz or practice before the recording session.,I do much riyas or practice before the recording session.,4.089,0.1,0.017857142857142856,10,1,0,0,0.1765,0.0432,,
svarah_00982,svarah,,Assamese,,offline,offline,,,1109,eleven hundred nine,1.696,3.0,4.75,1,1,0,2,0.1479,0.0872,,
svarah_00989,svarah,,Punjabi,,offline,offline,,,2020 - 2021,2020 -2021,3.328,0.0,0.0,2,0,0,0,0.1449,0.0435,,
svarah_00992,svarah,,Kannada,,offline,offline,,,what is the time in london right now,What is the time in London right now?,3.203,0.0,0.0,8,0,0,0,0.1689,0.0527,,
svarah_00999,svarah,,Tamil,,offline,offline,,,How do I activate my Yono SBI wallet?,"How do I activate my, you know, SBI valid?",3.162,0.375,0.2222222222222222,8,2,0,1,0.1913,0.0605,,
svarah_01028,svarah,,Odia,,offline,offline,,,some small odd jobs.,some small odd jobs,1.992,0.0,0.0,4,0,0,0,0.1519,0.0763,,
svarah_01036,svarah,,Kannada,,offline,offline,,,"It has been producing various dramas, plays on social and economic issues and many novels have been adapted into these plays and dramas","It has been producing various dramas, plays on social and economic issues and many novels have been adapted into these plays and dramas.",12.321,0.0,0.0,23,0,0,0,0.2552,0.0207,,
svarah_01077,svarah,,Gujarati,,offline,offline,,,Can you name five states of India?,Can you name five states of India?,1.959,0.0,0.0,7,0,0,0,0.1565,0.0799,,
svarah_01163,svarah,,Punjabi,,offline,offline,,,I find Nutriorg Organic Groundnut Oil more expensive than other websites,I find new Trio RG organic ground net oil more expensive than other websites.,6.248,0.45454545454545453,0.08333333333333333,11,2,0,3,0.1989,0.0318,,
svarah_01176,svarah,,Hindi,,offline,offline,,,So I love,"So, I love...",1.814,0.0,0.0,3,0,0,0,0.1512,0.0834,,
svarah_01183,svarah,,Telugu,,offline,offline,,,who do I think people will care?,Who do I think people will care?,1.815,0.0,0.0,7,0,0,0,0.1709,0.0942,,
svarah_01206,svarah,,Maithili,,offline,offline,,,"Now, the teachers are focusing more on educating the children, which will surely make the students more educated and a good citizen of country.","Now, the teachers are focusing more on educating the children, which will surely make the students more educated and a good citizen of country.",13.728,0.0,0.0,24,0,0,0,0.2681,0.0195,,
svarah_01207,svarah,,Malayalam,,offline,offline,,,"Yes, English language and learning of English is mandatory in India.","Yes, English language and learning of English is mandatory.",6.6,0.18181818181818182,0.13636363636363635,11,0,2,0,0.183,0.0277,,
svarah_01237,svarah,,Kashmiri,,offline,offline,,,Many music concerts of Kashmiri artists are held in these places so that people,Many music concerts of Kashmiri artists are held in these places so that people don't,5.58,0.07142857142857142,0.0759493670886076,14,0,0,1,0.2484,0.0445,,
svarah_01304,svarah,,Kannada,,offline,offline,,,Can you list all the submitted Renewal scholarship applications on NSP of user with application ID NZ2022211011104111034911 and date of birth 17-7-2018?,Can you list all the submitted renewal scholarship applications on NSP of user with application ID NZ 202221101104111034911 and date of birth 17 -7 -2018?,19.734,0.08333333333333333,0.013245033112582781,24,1,0,1,0.3159,0.016,,
svarah_01326,svarah,,Hindi,,offline,offline,,,all celebrate and participate in the festivities together.,all celebrate and participate in the festivities together.,4.24,0.0,0.0,8,0,0,0,0.1743,0.0411,,
svarah_01341,svarah,,Hindi,,offline,offline,,,So this is how the politics is arranged in the state of Maharashtra.,"So, this is how the politics is arranged in the state of Maharashtra.",7.538,0.0,0.0,13,0,0,0,0.1936,0.0257,,
svarah_01353,svarah,,Hindi,,offline,offline,,,"I have always been into doodling and it gradually converted to coloring with pencils, color pencils and then pastel colors and finally it settled down into oil painting. So I have been painting with oil paints since a long, long time now.","I have always been into doodling and gradually converted to coloring with pencils, color pencils and then pastel colors and finally it settled down into oil painting. So I have been painting with oil paints since a long long time now.",23.247,0.023809523809523808,0.01282051282051282,42,0,1,0,0.5721,0.0246,,
svarah_01393,svarah,,Assamese,,offline,offline,,,"I focus on low impact training. If I have an injury or limitation that makes high impact movement difficult, I focus on low impact training such as Tai Chi.",I focus on low impact training if I have an injury or limitation that makes high impact movement difficult. I focus on low impact training such as Tai Chi.,8.826,0.0,0.0,29,0,0,0,0.3114,0.0353,,
svarah_01398,svarah,,Sindhi,,offline,offline,,,it develops ability to work together,It develops the ability to work together.,4.34,0.16666666666666666,0.1111111111111111,6,0,0,1,0.1614,0.0372,,
svarah_01416,svarah,,Urdu,,offline,offline,,,"90, 555, 5110, 9780 and 2000","9555, 5110, 9780, and 2000.",16.271,0.3333333333333333,0.08,6,1,1,0,0.1784,0.011,,
svarah_01468,svarah,,Konkani,,offline,offline,,,Are there any Free vaccination centres which provide Booster Dose of Sputnik.,Are there any free vaccination centers which provide booster dose of Sputnik?,7.053,0.08333333333333333,0.02631578947368421,12,1,0,0,0.2025,0.0287,,
svarah_01485,svarah,,Dogri,,offline,offline,,,There is no consensus reference standard for the diagnosis of carpal tunnel syndrome.,There is no consensus reference standard for the diagnosis of the carpal tunnel syndrome.,6.194,0.07692307692307693,0.047619047619047616,13,0,0,1,0.1922,0.031,,
svarah_01502,svarah,,Kannada,,offline,offline,,,patronization in the state,patternization in the straight.,1.76,0.5,0.3076923076923077,4,2,0,0,0.1497,0.0851,,
svarah_01517,svarah,,Urdu,,offline,offline,,,Here with AI4Bharat too,here with ai for bar 2,2.85,1.0,0.43478260869565216,4,2,0,2,0.1549,0.0543,,
svarah_01529,svarah,,Kashmiri,,offline,offline,,,"Further school bus drivers, pay-ons etc also get an opportunity to make some money through these schools","Further school bus drivers, payons, etc. also get an opportunity to make some money through these schools.",8.055,0.1111111111111111,0.009708737864077669,18,1,1,0,0.2186,0.0271,,
svarah_01535,svarah,,Malayalam,,offline,offline,,,I have received the OTP 096739 can you please use that for mobile number 67435223193 to login into Co-win portal.?,I have received the RTP096739. Can you please use that for mobile number 67435223193 to log in into carbon bottle.,17.102,0.3333333333333333,0.09821428571428571,21,4,2,1,0.2892,0.0169,,
svarah_01543,svarah,,Konkani,,offline,offline,,,"What is your learning experience of English language in school, university?",What is your learning experience of English language in school university?,4.314,0.0,0.0,11,0,0,0,0.1847,0.0428,,
svarah_01589,svarah,,Kashmiri,,offline,offline,,,"As far as the goals of education are concerned, the goal of becoming a good person and the goal of becoming a better informed individual are important","As far as the goals of education are concerned, the goal of becoming a good person and the goal of becoming a better informed individual are important.",7.77,0.0,0.0,27,0,0,0,0.2824,0.0363,,
svarah_01590,svarah,,Assamese,,offline,offline,,,Recommend some Supplement Items products,Recommend some supplement item products.,2.386,0.2,0.025,5,1,0,0,0.1636,0.0686,,
svarah_01604,svarah,,Urdu,,offline,offline,,,All faiths around the world share a common ethic based on harmony with nature,All faiths around the world share a common ethic based on harmony with nature.,9.067,0.0,0.0,14,0,0,0,0.1988,0.0219,,
svarah_01612,svarah,,Nepali,,offline,offline,,,"Yes, the book which I read and which has changed my perspective on something","Yes, the book which I read and which have changed my perspective on something.",9.638,0.07142857142857142,0.02666666666666667,14,1,0,0,0.2188,0.0227,,
svarah_01613,svarah,,Maithili,,offline,offline,,,Mithilanchal is mainly famous for its Makhana and fish industry.,Midlandjal is mainly famous for its makhana and fish industry.,6.247,0.1,0.07936507936507936,10,1,0,0,0.1928,0.0309,,
svarah_01628,svarah,,Telugu,,offline,offline,,,"Initially, I used to think that yoga is very hard to practice.","Initially, I used to think that yoga is very hard to practice.",7.051,0.0,0.0,12,0,0,0,0.188,0.0267,,
svarah_01634,svarah,,Dogri,,offline,offline,,,and which has caused so much of soil erosion and other,and which has caused so much of soil erosion and other...,5.11,0.0,0.0,11,0,0,0,0.1716,0.0336,,
svarah_01681,svarah,,Bengali,,offline,offline,,,"And I love doing capturing leaves and flowers,",and I love capturing leaves and flowers.,7.84,0.125,0.13333333333333333,8,0,1,0,0.1611,0.0206,,
svarah_01694,svarah,,Urdu,,offline,offline,,,"Hinduism being the major religion, some of the most prominent Hindu festivals here are","Hinduism being the major religion, some of the most prominent Hindu festivals here are",5.133,0.0,0.0,14,0,0,0,0.1896,0.0369,,
svarah_01695,svarah,,Urdu,,offline,offline,,,"It instills good manners, the life of a person with his creator, his parents, his wife and children, his relatives, his teachers, etc.","It instills good manners, the life of a person with his creator, his parents, his wife and children, his relatives, his teachers, etc.",17.3,0.0,0.0,23,0,0,0,0.2876,0.0166,,
svarah_01727,svarah,,Malayalam,,offline,offline,,,traditional schools focus on the curriculum at hand.,Traditional schools focus on the curriculum at hand.,3.199,0.0,0.0,8,0,0,0,0.1606,0.0502,,
svarah_01733,svarah,,Nepali,,offline,offline,,,"Upgradation of State Data Centres, Leveraging Cloud Services for the Startups, Startup Warehouse,","of gradation of state data centers, leveraging cloud services for the starters, start of",8.48,0.46153846153846156,0.18085106382978725,13,5,0,1,0.3511,0.0414,,
svarah_01757,svarah,,Odia,,offline,offline,,,Recently I visited three historical places which have ruins of Buddhist monasteries and,"Recently I visited three historical places, which have ruins of Buddhist monasteries and",12.389,0.0,0.0,13,0,0,0,0.203,0.0164,,
svarah_01776,svarah,,Dogri,,offline,offline,,,The animal then curses her to a similar fate,The animal then curses her to a similar fate.,3.692,0.0,0.0,9,0,0,0,0.1737,0.047,,
svarah_01805,svarah,,Bodo,,offline,offline,,,throng and climb the Baukungri peak,thrones and climbed the balcony free,1.799,0.6666666666666666,0.4,6,4,0,0,0.1828,0.1016,,
svarah_01817,svarah,,Gujarati,,offline,offline,,,Any discount on Flasks ?,Any discount on flash,1.49,0.25,0.09090909090909091,4,1,0,0,0.1551,0.1041,,
svarah_01825,svarah,,Hindi,,offline,offline,,,is because we celebrate the differences instead of you know fine-combing,"is because we celebrate the differences instead of, you know, fine combing.",8.24,0.0,0.0,12,0,0,0,0.2054,0.0249,,
svarah_01855,svarah,,Maithili,,offline,offline,,,so to incorporate dynamic phrasing and interpretation in a professional way,"So, to incorporate dynamic phrasing and interpretation in a professional way,",4.741,0.0,0.0,11,0,0,0,0.1824,0.0385,,
svarah_01873,svarah,,Kannada,,offline,offline,,,Dance is a universal language that can be used to tell stories and share ideas.,Dance is a universal language that can be used to tell stories and share ideas.,5.327,0.0,0.0,15,0,0,0,0.1816,0.0341,,
svarah_01891,svarah,,Gujarati,,offline,offline,,,humorous elements in it make me revisit this book over and over again.,humorous elements in it make me revisit this book over and over again.,7.226,0.0,0.0,13,0,0,0,0.2597,0.0359,,
svarah_01951,svarah,,Odia,,offline,offline,,,from a particular from favorite book.,from a particular copyright book.,3.84,0.3333333333333333,0.3055555555555556,6,1,1,0,0.2321,0.0604,,
svarah_01962,svarah,,Bengali,,offline,offline,,,AICTE in the academic year 2018 - 2019,AICTE in the academic year 2018 -2019.,5.074,0.0,0.0,7,0,0,0,0.2105,0.0415,,
svarah_01963,svarah,,Kannada,,offline,offline,,,kingdom was weakened and the district came under the rule of Vijayanagara Empire,kingdom was weakened and the district came under the rule of Vijayanagara Empire.,5.86,0.0,0.0,13,0,0,0,0.2679,0.0457,,
svarah_01966,svarah,,Bodo,,offline,offline,,,"Sikna Jehelau, a freedom fighter, fought against the British by hiding in a forest,","If not the law, a predom fighter fought against the British by hiding in a protest.",9.115,0.42857142857142855,0.175,14,4,0,2,0.2931,0.0322,,
svarah_01973,svarah,,Tamil,,offline,offline,,,Can you tell me whether the UPI transaction to Wahida is successful?,Can you tell me whether the UPI transaction to Vahida is successful?,4.848,0.08333333333333333,0.014925373134328358,12,1,0,0,0.2573,0.0531,,
svarah_01987,svarah,,Punjabi,,offline,offline,,,"It shifted the base from classroom learning to technology-enabled online learning along with a host of other changes like changes in examination pattern, vaccine distribution, school code closures, etc.","It shifted the base from classroom learning to technology -enabled online learning along with a host of other changes like changes in examination pattern, vaccine distribution, school code closures, etc.",14.457,0.0,0.0,30,0,0,0,0.3869,0.0268,,
svarah_02001,svarah,,Odia,,offline,offline,,,"doing nothing, getting idle and staying at home.","doing nothing, getting idle and staying at home.",4.423,0.0,0.0,8,0,0,0,0.2274,0.0514,,
svarah_02004,svarah,,Telugu,,offline,offline,,,Are there any Paid vaccination centres which provide Booster Dose of COVISHIELD,Are there any paid vaccination centers which provide the booster dose of Covishield?,5.061,0.16666666666666666,0.0759493670886076,12,1,0,1,0.2616,0.0517,,
svarah_02044,svarah,,Bengali,,offline,offline,,,women and minorities.,women and minorities.,2.436,0.0,0.0,3,0,0,0,0.2013,0.0826,,
svarah_02064,svarah,,Bengali,,offline,offline,,,I want to know the balance in my Odisha Gramya Bank account.,I want to know the balance in my Odisha Grammubank account.,5.887,0.16666666666666666,0.05084745762711865,12,1,1,0,0.2337,0.0397,,
svarah_02065,svarah,,Nepali,,offline,offline,,,"dhania and all that, we just cook it in a simple manner",dhaniya and all that. We just cook it in a simple manner.,4.025,0.08333333333333333,0.018518518518518517,12,1,0,0,0.1945,0.0483,,
svarah_02075,svarah,,Assamese,,offline,offline,,,"24 February 1996, 19 January 2000, 17 January 1994, 2 February 2006, 23 March 1995.","24 February 1996, 19 January 2000, 17 January 1994, 2 February 2006, 23 March 1995.",15.929,0.0,0.0,15,0,0,0,0.2258,0.0142,,
svarah_02080,svarah,,Dogri,,offline,offline,,,"can't accommodate more than people. Overall, my state needs more improvement on health care facilities.","But they can't accommodate more than people. Overall, my state needs more improvement on health care facilities.",9.479,0.13333333333333333,0.09,15,0,0,2,0.2437,0.0257,,
svarah_02083,svarah,,Hindi,,offline,offline,,,"Each composition is set with specific notes and beats, but performers improvise extensively.",Each composition is set with specific notes and beats but performers improvise extensively.,4.853,0.0,0.0,13,0,0,0,0.1959,0.0404,,
svarah_02087,svarah,,Gujarati,,offline,offline,,,please add event in calendar,Please add event in calendar.,1.98,0.0,0.0,5,0,0,0,0.1549,0.0782,,
svarah_02124,svarah,,Konkani,,offline,offline,,,"Clara, Clarina, Victor, Cheryl, Cain.","Clara, Clarina, Victor, Cheryl, Kain",5.72,0.2,0.03125,5,1,0,0,0.1726,0.0302,,
svarah_02142,svarah,,Maithili,,offline,offline,,,"And in the September we celebrate Durga Puja and then Chhath, Diwali.","And in the September, we celebrate Durga Puja and then Chhad Diwali.",7.08,0.08333333333333333,0.029850746268656716,12,1,0,0,0.2058,0.0291,,
svarah_02166,svarah,,Sindhi,,offline,offline,,,"Lakshmi Vilas Palace, residence of Vadodara's royal family.","Lakshmi Vila's palace, residence of Adodra's royal family.",5.145,0.25,0.05263157894736842,8,2,0,0,0.2103,0.0409,,
svarah_02210,svarah,,Kannada,,offline,offline,,,Everyone loved culture and cultural heritage above everything else.,Everyone loved culture and cultural heritage above everything else.,4.247,0.0,0.0,9,0,0,0,0.1611,0.0379,,
svarah_02221,svarah,,Konkani,,offline,offline,,,Breast cancers can be classified by different schemata.,breast cancers can be classified by different schematic.,3.254,0.125,0.037037037037037035,8,1,0,0,0.1668,0.0513,,
svarah_02223,svarah,,Kashmiri,,offline,offline,,,What to consider before investing in Employee Provident Fund Savings Scheme?,what to consider before investing in an employee provident fund savings scheme.,5.253,0.09090909090909091,0.04,11,0,0,1,0.1762,0.0335,,
svarah_02245,svarah,,Bodo,,offline,offline,,,"And the stones used for grinding can still be found in the forest of a place named the Nabhander,",and the stones used for grinding can still be found in the forest of less named the knob hunter,8.885,0.21052631578947367,0.11458333333333333,19,2,1,1,0.2386,0.0269,,
svarah_02259,svarah,,Bengali,,offline,offline,,,show me all Breads items,Show me all bread's items.,1.744,0.2,0.041666666666666664,5,1,0,0,0.1606,0.0921,,
svarah_02265,svarah,,Kannada,,offline,offline,,,My PRAN number is 4819122239,My P .R .A .N number is 481912239.,6.544,1.0,0.14285714285714285,5,2,0,3,0.1918,0.0293,,
svarah_02281,svarah,,Sindhi,,offline,offline,,,the world communication language,the world communication language.,2.486,0.0,0.0,4,0,0,0,0.1455,0.0585,,
svarah_02316,svarah,,Assamese,,offline,offline,,,"And I listen to my body. I am mindful of my body and I don't push myself too hard. If something hurts, I stop doing it and find a modification or alternative","And I listen to my body, I am mindful of my body and I don't push myself too hard. If something hurts, I stop doing it and find a modification or alternative.",9.526,0.0,0.0,32,0,0,0,0.3152,0.0331,,
svarah_02330,svarah,,Konkani,,offline,offline,,,People in Vietnam are very friendly,People in Vietnam are very friendly.,4.333,0.0,0.0,6,0,0,0,0.1511,0.0349,,
svarah_02363,svarah,,Konkani,,offline,offline,,,show me all Utensils.,Show me all utensils.,2.551,0.0,0.0,4,0,0,0,0.1561,0.0612,,
svarah_02367,svarah,,Kannada,,offline,offline,,,Is the notifications for chat messages.,is the notifications for a chat message.,2.573,0.3333333333333333,0.07894736842105263,6,1,0,1,0.1675,0.0651,,
svarah_02389,svarah,,Bodo,,offline,offline,,,"And there are elephant safari, jeep safari,","and there are elephant safari, jeep safari,",4.233,0.0,0.0,7,0,0,0,0.1687,0.0398,,
