utt_id,dataset,condition,op,ref_word,hyp_word,ref_context,approx_time_s,speaker,accent,why_category,annotator_notes,pattern_freq
svarah_02064,svarah,offline,substitute,gramya,grammubank,in my odisha [gramya] bank account,3.74,,Bengali,model_lexical,auto-rule,1
svarah_01163,svarah,offline,substitute,groundnut,net,find nutriorg organic [groundnut] oil more expensive,2.58,,Punjabi,model_lexical,auto-rule,1
svarah_00089,svarah,offline,substitute,gujarati,gujrati,communication has been [gujarati],2.98,,Gujarati,model_lexical,auto-rule,1
svarah_01612,svarah,offline,substitute,has,have,read and which [has] changed my perspective,4.52,,Nepali,model_lexical,auto-rule,1
svarah_02515,svarah,offline,substitute,her,harnim,one day shamanatai [her] name is yashoda,2.8,,Kannada,model_lexical,auto-rule,1
svarah_00514,svarah,offline,substitute,highly,all,and it's [highly] impacted our business,0.4,,Dogri,model_lexical,auto-rule,1
svarah_00887,svarah,offline,substitute,his,forced,long drives are [his] first love and,0.96,,Konkani,model_lexical,auto-rule,1
svarah_00541,svarah,offline,substitute,into,in,one to investigate [into] corruption into selections,3.48,,Gujarati,model_lexical,auto-rule,1
svarah_00878,svarah,offline,substitute,is,konaar,and there [is] konar chandrabhaga beach,1.7,,Odia,model_lexical,auto-rule,1
svarah_00514,svarah,offline,substitute,it's,has,and [it's] highly impacted our,0.22,,Dogri,model_lexical,auto-rule,1
svarah_01590,svarah,offline,substitute,items,item,recommend some supplement [items] products,1.22,,Assamese,model_lexical,auto-rule,1
svarah_01966,svarah,offline,substitute,jehelau,law,sikna [jehelau] a freedom fighter,0.8,,Bodo,model_lexical,auto-rule,1
svarah_02528,svarah,offline,substitute,jewellery,jewelry,crafts like tribal [jewellery] and so on,3.46,,Kannada,model_lexical,auto-rule,1
svarah_02643,svarah,offline,substitute,kannada,karnada,books written by [kannada] writers but in,4.84,,Kannada,model_lexical,auto-rule,1
svarah_00878,svarah,offline,substitute,konar,chandra,and there is [konar] chandrabhaga beach,2.04,,Odia,model_lexical,auto-rule,1
svarah_00697,svarah,offline,substitute,kudremukh,kudramuk,yelaneeru ghat in [kudremukh] in chikkamagaluru district,2.12,,Punjabi,model_lexical,auto-rule,1
svarah_01535,svarah,offline,substitute,login,in,number 67435223193 to [login] into co win,14.7,,Malayalam,model_lexical,auto-rule,1
svarah_02367,svarah,offline,substitute,messages,message,notifications for chat [messages],2.08,,Kannada,model_lexical,auto-rule,1
svarah_01613,svarah,offline,substitute,mithilanchal,midlandjal,[mithilanchal] is mainly famous,0,,Maithili,model_lexical,auto-rule,1
svarah_02245,svarah,offline,substitute,nabhander,hunter,place named the [nabhander],8.08,,Bodo,model_lexical,auto-rule,1
svarah_01163,svarah,offline,substitute,nutriorg,rg,i find [nutriorg] organic groundnut oil,1.34,,Punjabi,model_lexical,auto-rule,1
svarah_01304,svarah,offline,substitute,nz2022211011104111034911,2.02221E+20,with application id [nz2022211011104111034911] and date of,7.76,,Kannada,normalization,auto-rule,1
svarah_01535,svarah,offline,substitute,otp,rtp096739,have received the [otp] 096739 can you,0.84,,Malayalam,model_lexical,auto-rule,1
svarah_00434,svarah,offline,substitute,our,are,means that all [our] citizens,5.22,,Malayalam,model_lexical,auto-rule,1
svarah_02417,svarah,offline,substitute,patronage,patternage,also enjoys wide [patronage] in karnataka,2.74,,Urdu,model_lexical,auto-rule,1
svarah_01502,svarah,offline,substitute,patronization,patternization,[patronization] in the state,0.52,,Kannada,model_lexical,auto-rule,1
svarah_01529,svarah,offline,substitute,pay,payons,school bus drivers [pay] ons etc also,3,,Kashmiri,model_lexical,auto-rule,1
svarah_01805,svarah,offline,substitute,peak,free,climb the baukungri [peak],1.22,,Bodo,model_lexical,auto-rule,1
svarah_02265,svarah,offline,substitute,pran,n,my [pran] number is 4819122239,1,,Kannada,model_lexical,auto-rule,1
svarah_00169,svarah,offline,substitute,raashee,rashi,called what's your [raashee] which was based,2.58,,Gujarati,model_lexical,auto-rule,1
svarah_00690,svarah,offline,substitute,reciept,receipt,show me the [reciept] of my credit,1.46,,Bengali,model_lexical,auto-rule,1
svarah_00168,svarah,offline,substitute,recieved,received,freshener gel i [recieved] is not correct,3,,Konkani,model_lexical,auto-rule,1
svarah_00964,svarah,offline,substitute,riyaz,riyas,i do much [riyaz] or practice before,0.8,,Gujarati,model_lexical,auto-rule,1
svarah_02414,svarah,offline,substitute,rs,2000,please transfer [rs] 20000 to my,0.94,,Kannada,model_lexical,auto-rule,1
svarah_02221,svarah,offline,substitute,schemata,schematic,classified by different [schemata],2.6,,Konkani,model_lexical,auto-rule,1
svarah_02515,svarah,offline,substitute,shamanatai,shamanathai,one day [shamanatai] her name is,1.32,,Kannada,model_lexical,auto-rule,1
svarah_01966,svarah,offline,substitute,sikna,the,[sikna] jehelau a freedom,0.62,,Bodo,model_lexical,auto-rule,1
svarah_00487,svarah,offline,substitute,sir,sergeant,the chairmanship of [sir] john simon,6.68,,Odia,model_lexical,auto-rule,1
svarah_01733,svarah,offline,substitute,startup,start,for the startups [startup] warehouse,7.34,,Nepali,model_lexical,auto-rule,1
svarah_01733,svarah,offline,substitute,startups,starters,services for the [startups] startup warehouse,5.88,,Nepali,model_lexical,auto-rule,1
svarah_01502,svarah,offline,substitute,state,straight,patronization in the [state],1.3,,Kannada,model_lexical,auto-rule,1
svarah_00461,svarah,offline,substitute,stick,sticky,it got [stick] it just went,0.4,,Kannada,model_lexical,auto-rule,1
svarah_00878,svarah,offline,substitute,there,there's,and [there] is konar chandrabhaga,0.54,,Odia,normalization,auto-rule,1
svarah_00721,svarah,offline,substitute,thers,there,are [thers] any nearby vaccination,0.28,,Nepali,normalization,auto-rule,1
svarah_01805,svarah,offline,substitute,throng,thrones,[throng] and climb the,0,,Bodo,model_lexical,auto-rule,1
svarah_01517,svarah,offline,substitute,too,2,here with ai4bharat [too],2.08,,Urdu,model_lexical,auto-rule,1
svarah_01733,svarah,offline,substitute,upgradation,gradation,[upgradation] of state data,0.24,,Nepali,model_lexical,auto-rule,1
svarah_02166,svarah,offline,substitute,vadodara's,adodra's,palace residence of [vadodara's] royal family,3.3,,Sindhi,model_lexical,auto-rule,1
svarah_02166,svarah,offline,substitute,vilas,vila's,lakshmi [vilas] palace residence of,0.84,,Sindhi,model_lexical,auto-rule,1
svarah_01973,svarah,offline,substitute,wahida,vahida,upi transaction to [wahida] is successful,3.04,,Tamil,model_lexical,auto-rule,1
svarah_00999,svarah,offline,substitute,wallet,valid,my yono sbi [wallet],2.8,,Tamil,model_lexical,auto-rule,1
svarah_01733,svarah,offline,substitute,warehouse,of,the startups startup [warehouse],7.4,,Nepali,model_lexical,auto-rule,1
svarah_01535,svarah,offline,substitute,win,bottle,login into co [win] portal,16.42,,Malayalam,model_lexical,auto-rule,1
svarah_00697,svarah,offline,substitute,yelaneeru,nehru,[yelaneeru] ghat in kudremukh,0.58,,Punjabi,model_lexical,auto-rule,1
svarah_00999,svarah,offline,substitute,yono,know,i activate my [yono] sbi wallet,1.96,,Tamil,model_lexical,auto-rule,1
svarah_00169,svarah,offline,substitute,your,a,movie called what's [your] raashee which was,2.5,,Gujarati,model_lexical,auto-rule,1
