utt_id,dataset,condition,op,ref_word,hyp_word,ref_context,ref_sentence,hyp_sentence,approx_time_s,speaker,accent,why_category,annotator_notes,pattern_freq,coincides_mispronunciation,nearest_mispron,nearest_mispron_dist_s,phoneme_classification
l2arctic_HJK_arctic_a0031,l2arctic,offline,substitute,three,300,they were [three] hundred yards apart,They were three hundred yards apart,They were 300 yards apart.,0.38,HJK,Korean,,,6,False,DH>D(s),0.28,asr_error_on_correct_speech
l2arctic_HQTV_arctic_a0031,l2arctic,offline,substitute,three,300,they were [three] hundred yards apart,They were three hundred yards apart,They were 300 yards apart.,0.46,HQTV,Vietnamese,,,6,True,TH>T(s),0.0,coincides_mispronunciation
l2arctic_ABA_arctic_a0060,l2arctic,offline,insert,,a,,Anyway no one saw her like that,"In a way, no one saw hair like that.",0.24,ABA,Arabic,,,5,False,ER1>EH(s),1.59,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,a,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.66,BWC,Mandarin,,,5,False,DH>TH(s),0.273,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,a,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.68,BWC,Mandarin,,,5,False,DH>TH(s),0.293,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,a,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",7.0,BWC,Mandarin,,,5,False,DH>TH(s),0.613,asr_error_on_correct_speech
l2arctic_HQTV_arctic_a0046,l2arctic,offline,insert,,a,,The girl faced him her eyes shining with sudden fear,"The girl faced him, her eyes shining with a sudden fear.",2.92,HQTV,Vietnamese,,,5,True,DH>D(s),0.0,coincides_mispronunciation
l2arctic_ABA_arctic_a0003,l2arctic,offline,substitute,twentieth,20th,for the [twentieth] time that evening,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands.,0.68,ABA,Arabic,,,5,False,sil>K(a),2.411,asr_error_on_correct_speech
l2arctic_ASI_arctic_a0003,l2arctic,offline,substitute,twentieth,20th,for the [twentieth] time that evening,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands.,0.32,ASI,Hindi,,,5,True,DH>D(s),0.0,coincides_mispronunciation
l2arctic_EBVS_arctic_a0003,l2arctic,offline,substitute,twentieth,20th,for the [twentieth] time that evening,For the twentieth time that evening the two men shook hands,"For the 20th time that evening, the two men shook hands.",0.34,EBVS,Spanish,,,5,False,IH0>sil(d),0.321,asr_error_on_correct_speech
l2arctic_HJK_arctic_a0003,l2arctic,offline,substitute,twentieth,20th,for the [twentieth] time that evening,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands.,0.36,HJK,Korean,,,5,True,DH>D(s),0.0,coincides_mispronunciation
l2arctic_HQTV_arctic_a0003,l2arctic,offline,substitute,twentieth,20th,for the [twentieth] time that evening,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands,0.4,HQTV,Vietnamese,,,5,True,DH>D(s),0.0,coincides_mispronunciation
l2arctic_ABA_arctic_a0010,l2arctic,offline,insert,,i,,I'm playing a single hand in what looks like a losing game,I am playing a single hand in what looks like a losing game.,0.0,ABA,Arabic,,,4,False,,,asr_error_on_correct_speech
l2arctic_ASI_arctic_a0010,l2arctic,offline,insert,,i,,I'm playing a single hand in what looks like a losing game,I am playing a single hand in what looks like a losing game.,0.0,ASI,Hindi,,,4,False,P>P*(s),0.3,asr_error_on_correct_speech
l2arctic_HJK_arctic_a0006,l2arctic,offline,insert,,i,,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I will go on seeing them forever.,1.48,HJK,Korean,,,4,False,EH1>AE1(s),0.95,asr_error_on_correct_speech
l2arctic_HJK_arctic_a0041,l2arctic,offline,insert,,i,,Meanwhile I'll go out to breathe a spell,"Meanwhile, I will go out to breathe a spell.",1.0,HJK,Korean,,,4,False,R>sil(d),0.76,asr_error_on_correct_speech
l2arctic_ASI_arctic_a0039,l2arctic,offline,substitute,ten,10,a week or [ten] days,The ship should be in within a week or ten days,The ship should be in within a week or 10 days.,2.02,ASI,Hindi,,,4,True,T>T*(s),0.0,coincides_mispronunciation
l2arctic_BWC_arctic_a0039,l2arctic,offline,substitute,ten,10,a week or [ten] days,The ship should be in within a week or ten days,The sheep should be eaten within a week or 10 days.,3.14,BWC,Mandarin,,,4,False,Z>S(s),0.6,asr_error_on_correct_speech
l2arctic_EBVS_arctic_a0039,l2arctic,offline,substitute,ten,10,a week or [ten] days,The ship should be in within a week or ten days,the shift should be in within a week or 10 days.,3.08,EBVS,Spanish,,,4,False,Z>S(s),0.33,asr_error_on_correct_speech
l2arctic_HQTV_arctic_a0039,l2arctic,offline,substitute,ten,10,a week or [ten] days,The ship should be in within a week or ten days,the ship should be in within a week or 10 days.,2.56,HQTV,Vietnamese,,,4,True,R>sil(d),0.0,coincides_mispronunciation
l2arctic_ABA_arctic_a0048,l2arctic,offline,insert,,hand,,He looked at the handkerchief more closely,He looked at the hand kerchief more closely.,1.34,ABA,Arabic,,,3,False,sil>D(a),0.356,asr_error_on_correct_speech
l2arctic_ABA_arctic_a0053,l2arctic,offline,insert,,hand,,Suddenly his fingers closed tightly over the handkerchief,"Suddenly, his fingers closed tightly over the hand crochet.",3.08,ABA,Arabic,,,3,True,NG>N(s),0.0,coincides_mispronunciation
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,the,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.66,BWC,Mandarin,,,3,False,DH>TH(s),0.273,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,delicate,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.68,BWC,Mandarin,,,3,False,DH>TH(s),0.293,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,emerald,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.68,BWC,Mandarin,,,3,False,DH>TH(s),0.293,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,color,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.68,BWC,Mandarin,,,3,False,DH>TH(s),0.293,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,delicate,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.68,BWC,Mandarin,,,3,False,DH>TH(s),0.293,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,emerald,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.68,BWC,Mandarin,,,3,False,DH>TH(s),0.293,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,color,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.72,BWC,Mandarin,,,3,False,DH>TH(s),0.333,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,delicate,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",7.0,BWC,Mandarin,,,3,False,DH>TH(s),0.613,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,emerald,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",7.02,BWC,Mandarin,,,3,False,DH>TH(s),0.633,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,color,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",7.02,BWC,Mandarin,,,3,False,DH>TH(s),0.633,asr_error_on_correct_speech
l2arctic_EBVS_arctic_a0025,l2arctic,offline,insert,,the,,I was about to do this when cooler judgment prevailed,I was about to do this when the courier judgments provide.,2.3,EBVS,Spanish,,,3,True,sil>DH(a),0.0,coincides_mispronunciation
l2arctic_HQTV_arctic_a0025,l2arctic,offline,insert,,the,,I was about to do this when cooler judgment prevailed,I was about to do this when the cool adjustment reviled,1.86,HQTV,Vietnamese,,,3,False,ER0>AH0(s),0.42,asr_error_on_correct_speech
l2arctic_HQTV_arctic_a0053,l2arctic,offline,insert,,hand,,Suddenly his fingers closed tightly over the handkerchief,Suddenly his finger closed tightly over the hand cover shape.,2.98,HQTV,Vietnamese,,,3,True,DH>D(s),0.0,coincides_mispronunciation
l2arctic_ABA_arctic_a0008,l2arctic,offline,substitute,gad,god,[gad] your letter came,Gad your letter came just in time,"God, your letter came just in time.",0.0,ABA,Arabic,,,3,False,R>R*(s),1.06,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0008,l2arctic,offline,substitute,gad,god,[gad] your letter came,Gad your letter came just in time,"God, your letter came just in time.",0.0,BWC,Mandarin,,,3,True,AE1>AA(s),0.0,coincides_mispronunciation
l2arctic_EBVS_arctic_a0008,l2arctic,offline,substitute,gad,god,[gad] your letter came,Gad your letter came just in time,"God, your letter comes just in time.",0.0,EBVS,Spanish,,,3,False,AE1>AA(s),0.24,asr_error_on_correct_speech
l2arctic_ABA_arctic_a0076,l2arctic,offline,substitute,gray,grey,the [gray] eyes faltered the,The gray eyes faltered the flush deepened,The grey eyes filtered the flash deepened,0.22,ABA,Arabic,,,3,True,R>R*(s),0.0,coincides_mispronunciation
l2arctic_ASI_arctic_a0076,l2arctic,offline,substitute,gray,grey,the [gray] eyes faltered the,The gray eyes faltered the flush deepened,"The grey ice faltered, the flush deepened.",0.2,ASI,Hindi,,,3,True,DH>D(s),0.0,coincides_mispronunciation
l2arctic_EBVS_arctic_a0076,l2arctic,offline,substitute,gray,grey,the [gray] eyes faltered the,The gray eyes faltered the flush deepened,"The grey is faltered, the flash deepens.",0.16,EBVS,Spanish,,,3,True,DH>D(s),0.0,coincides_mispronunciation
l2arctic_BWC_arctic_a0013,l2arctic,offline,substitute,physique,physics,of almost delicate [physique],He was a head shorter than his companion of almost delicate physique,he was a head shorter than his companion of almost delicate physics.,4.94,BWC,Mandarin,,,3,True,AH0>EH(s),0.0,coincides_mispronunciation
l2arctic_EBVS_arctic_a0013,l2arctic,offline,substitute,physique,physics,of almost delicate [physique],He was a head shorter than his companion of almost delicate physique,he was a hit shorter than his companion of almost delicate physics.,4.84,EBVS,Spanish,,,3,True,AH0>EY(s),0.0,coincides_mispronunciation
l2arctic_HQTV_arctic_a0013,l2arctic,offline,substitute,physique,physics,of almost delicate [physique],He was a head shorter than his companion of almost delicate physique,he was ahead shorter than his companion of almost delicate physics.,6.5,HQTV,Vietnamese,,,3,True,AH0>EY0(s),0.0,coincides_mispronunciation
l2arctic_BWC_arctic_a0023,l2arctic,offline,substitute,privileges,privilege,for the same [privileges],A combination of Canadian capital quickly organized and petitioned for the same privileges,a combination of Canadian capital quickly organized and petitioned for the same privilege.,6.96,BWC,Mandarin,,,3,True,EY1>EH(s),0.0,coincides_mispronunciation
l2arctic_EBVS_arctic_a0023,l2arctic,offline,substitute,privileges,privilege,for the same [privileges],A combination of capital quickly organized and petitioned for the same privileges,a combination of capital quickly organized and petitioned for the same privilege.,6.9,EBVS,Spanish,,,3,False,JH>CH(s),0.55,asr_error_on_correct_speech
l2arctic_HQTV_arctic_a0023,l2arctic,offline,substitute,privileges,privilege,for the same [privileges],A combination of Canadian capital quickly organized and petitioned for the same privileges,"a combination of Canadians, capital weekly, organized and petitioned for the same privilege.",6.12,HQTV,Vietnamese,,,3,True,EY1>AE1(s),0.0,coincides_mispronunciation
l2arctic_ASI_arctic_a0024,l2arctic,offline,substitute,reports,report,it was my [reports] from the north,It was my reports from the north which chiefly induced people to buy,It was my report from the north which chiefly induced people to buy.,0.52,ASI,Hindi,,,3,True,R>R*(s),0.0,coincides_mispronunciation
l2arctic_EBVS_arctic_a0024,l2arctic,offline,substitute,reports,report,it was my [reports] from the north,It was my reports from the north which chiefly induced people to buy,It was my report from the north which chiefly induced people to buy.,0.62,EBVS,Spanish,,,3,False,Z>S(s),0.16,asr_error_on_correct_speech
l2arctic_HQTV_arctic_a0024,l2arctic,offline,substitute,reports,report,it was my [reports] from the north,It was my reports from the north which chiefly induced people to buy,"This was my report from the North, which sharply induced people to buy.",0.68,HQTV,Vietnamese,,,3,False,Z>R(s),0.2,asr_error_on_correct_speech
l2arctic_ABA_arctic_a0036,l2arctic,offline,insert,,it,,She turned in at the hotel,She turned it in at the hotel.,0.58,ABA,Arabic,,,2,False,,,asr_error_on_correct_speech
l2arctic_EBVS_arctic_a0045,l2arctic,offline,insert,,it,,He moved away as quickly as he had come,He moved it away as quickly as he had come.,0.38,EBVS,Spanish,,,2,True,sil>EH(a),0.0,coincides_mispronunciation
l2arctic_EBVS_arctic_a0048,l2arctic,offline,insert,,hungry,,He looked at the handkerchief more closely,He looked at the hungry chief more closely.,0.76,EBVS,Spanish,,,2,True,sil>N(a),0.0,coincides_mispronunciation
l2arctic_EBVS_arctic_a0053,l2arctic,offline,insert,,hungry,,Suddenly his fingers closed tightly over the handkerchief,"Suddenly, his fingers closed tightly over the hungry chief.",3.18,EBVS,Spanish,,,2,False,AE1>AA(s),0.17,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0019,l2arctic,offline,substitute,chances,chance,railroad looking for [chances],I followed the line of the proposed railroad looking for chances,I followed the line of the proper railroad looking for chance.,5.22,BWC,Mandarin,,,2,True,R>sil(d),0.0,coincides_mispronunciation
l2arctic_EBVS_arctic_a0019,l2arctic,offline,substitute,chances,chance,railroad looking for [chances],I followed the line of the proposed railroad looking for chances,I followed the line of the proposed railroad looking for chance.,4.66,EBVS,Spanish,,,2,False,AH0>sil(d),0.403,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0047,l2arctic,offline,substitute,close,clothes,[close] beside him gleamed,Close beside him gleamed the white fangs of the wolf dog,Clothes beside him gleamed the white front of the wolf dog.,0.0,BWC,Mandarin,,,2,False,Z>S(s),0.51,asr_error_on_correct_speech
l2arctic_HQTV_arctic_a0047,l2arctic,offline,substitute,close,clothes,[close] beside him gleamed,Close beside him gleamed the white fangs of the wolf dog,Clothes beside him claimed the white fangs of the wolf dog.,0.0,HQTV,Vietnamese,,,2,False,IH0>IY2(s),0.55,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0053,l2arctic,offline,substitute,closed,close,suddenly his fingers [closed] tightly over the,Suddenly his fingers closed tightly over the handkerchief,"Shadowly, his fingers close tightly over the handkerchief.",1.96,BWC,Mandarin,,,2,True,Z>S(s),0.0,coincides_mispronunciation
l2arctic_BWC_arctic_a0065,l2arctic,offline,substitute,closed,close,they [closed] now until his,They closed now until his fingers were like cords of steel,Stay close now until his fingers were little cord of steel.,0.2,BWC,Mandarin,,,2,True,DH>D(s),0.0,coincides_mispronunciation
l2arctic_EBVS_arctic_a0076,l2arctic,offline,substitute,deepened,deepens,faltered the flush [deepened],The gray eyes faltered the flush deepened,"The grey is faltered, the flash deepens.",2.42,EBVS,Spanish,,,2,False,D>sil(d),0.55,asr_error_on_correct_speech
l2arctic_HQTV_arctic_a0076,l2arctic,offline,substitute,deepened,deepens,faltered the flush [deepened],The gray eyes faltered the flush deepened,The gray eyes fondle the flush deepens.,2.42,HQTV,Vietnamese,,,2,True,AH1>AO1(s),0.0,coincides_mispronunciation
l2arctic_ABA_arctic_a0076,l2arctic,offline,substitute,faltered,filtered,the gray eyes [faltered] the flush deepened,The gray eyes faltered the flush deepened,The grey eyes filtered the flash deepened,0.86,ABA,Arabic,,,2,False,R>R*(s),0.53,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0076,l2arctic,offline,substitute,faltered,filtered,the gray eyes [faltered] the flush deepened,The gray eyes faltered the flush deepened,"the grid as filtered, the flow deepened.",0.86,BWC,Mandarin,,,2,True,AY1>AA(s),0.0,coincides_mispronunciation
l2arctic_ABA_arctic_a0064,l2arctic,offline,substitute,fifth,5th,the fourth and [fifth] days passed without,The fourth and fifth days passed without any developments,the 4th and 5th days passed without any developments.,1.0,ABA,Arabic,,,2,False,R>R*(s),0.43,asr_error_on_correct_speech
l2arctic_ASI_arctic_a0064,l2arctic,offline,substitute,fifth,5th,the fourth and [fifth] days passed without,The fourth and fifth days passed without any developments,The 4th and 5th days passed without any developments.,0.6,ASI,Hindi,,,2,True,TH>T(s),0.0,coincides_mispronunciation
l2arctic_ABA_arctic_a0076,l2arctic,offline,substitute,flush,flash,eyes faltered the [flush] deepened,The gray eyes faltered the flush deepened,The grey eyes filtered the flash deepened,2.7,ABA,Arabic,,,2,False,P>B(s),0.91,asr_error_on_correct_speech
l2arctic_EBVS_arctic_a0076,l2arctic,offline,substitute,flush,flash,eyes faltered the [flush] deepened,The gray eyes faltered the flush deepened,"The grey is faltered, the flash deepens.",2.1,EBVS,Spanish,,,2,False,D>sil(d),0.87,asr_error_on_correct_speech
l2arctic_ABA_arctic_a0064,l2arctic,offline,substitute,fourth,4th,the [fourth] and fifth days,The fourth and fifth days passed without any developments,the 4th and 5th days passed without any developments.,0.22,ABA,Arabic,,,2,False,R>R*(s),0.27,asr_error_on_correct_speech
l2arctic_ASI_arctic_a0064,l2arctic,offline,substitute,fourth,4th,the [fourth] and fifth days,The fourth and fifth days passed without any developments,The 4th and 5th days passed without any developments.,0.18,ASI,Hindi,,,2,True,DH>D(s),0.0,coincides_mispronunciation
l2arctic_ABA_arctic_a0020,l2arctic,offline,substitute,grew,grow,balls and cities [grew] to be only,Clubs and balls and cities grew to be only memories,clubs and pools and cities grow to be only memories.,1.94,ABA,Arabic,,,2,False,R>R*(s),0.19,asr_error_on_correct_speech
l2arctic_EBVS_arctic_a0020,l2arctic,offline,substitute,grew,grow,balls and cities [grew] to be only,Clubs and balls and cities grew to be only memories,Clubs and boards and cities grow to be only memories.,1.24,EBVS,Spanish,,,2,True,Z>S(s),0.0,coincides_mispronunciation
l2arctic_EBVS_arctic_a0048,l2arctic,offline,substitute,handkerchief,chief,looked at the [handkerchief] more closely,He looked at the handkerchief more closely,He looked at the hungry chief more closely.,1.02,EBVS,Spanish,,,2,True,AE1>AA(s),0.0,coincides_mispronunciation
l2arctic_EBVS_arctic_a0053,l2arctic,offline,substitute,handkerchief,chief,tightly over the [handkerchief],Suddenly his fingers closed tightly over the handkerchief,"Suddenly, his fingers closed tightly over the hungry chief.",3.52,EBVS,Spanish,,,2,True,AE1>AA(s),0.0,coincides_mispronunciation
l2arctic_ABA_arctic_a0013,l2arctic,offline,substitute,head,hit,he was a [head] shorter than his,He was a head shorter than his companion of almost delicate physique,he was a hit shorter than his companion of almost delicate physique.,0.68,ABA,Arabic,,,2,False,P>B(s),2.02,asr_error_on_correct_speech
l2arctic_EBVS_arctic_a0013,l2arctic,offline,substitute,head,hit,he was a [head] shorter than his,He was a head shorter than his companion of almost delicate physique,he was a hit shorter than his companion of almost delicate physics.,0.68,EBVS,Spanish,,,2,True,Z>TH(s),0.0,coincides_mispronunciation
l2arctic_HJK_arctic_a0006,l2arctic,offline,substitute,i'll,will,em i hope [i'll] go on seeing,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I will go on seeing them forever.,1.68,HJK,Korean,,,2,False,EH1>AE1(s),1.15,asr_error_on_correct_speech
l2arctic_HJK_arctic_a0041,l2arctic,offline,substitute,i'll,will,meanwhile [i'll] go out to,Meanwhile I'll go out to breathe a spell,"Meanwhile, I will go out to breathe a spell.",1.0,HJK,Korean,,,2,False,R>sil(d),0.76,asr_error_on_correct_speech
l2arctic_ABA_arctic_a0010,l2arctic,offline,substitute,i'm,am,[i'm] playing a single,I'm playing a single hand in what looks like a losing game,I am playing a single hand in what looks like a losing game.,0.26,ABA,Arabic,,,2,False,,,asr_error_on_correct_speech
l2arctic_ASI_arctic_a0010,l2arctic,offline,substitute,i'm,am,[i'm] playing a single,I'm playing a single hand in what looks like a losing game,I am playing a single hand in what looks like a losing game.,0.2,ASI,Hindi,,,2,True,P>P*(s),0.0,coincides_mispronunciation
l2arctic_ABA_arctic_a0042,l2arctic,offline,substitute,possession,position,he explain his [possession] of the sketch,How could he explain his possession of the sketch,How could he explain his position of the sketch?,1.96,ABA,Arabic,,,2,False,P>B(s),0.51,asr_error_on_correct_speech
l2arctic_EBVS_arctic_a0042,l2arctic,offline,substitute,possession,position,he explain his [possession] of the sketch,How could he explain his possession of the sketch,How could he explain his position of the sketch?,1.74,EBVS,Spanish,,,2,True,Z>S(s),0.0,coincides_mispronunciation
l2arctic_ABA_arctic_a0028,l2arctic,offline,substitute,robbery,rubbery,[robbery] bribery fraud,Robbery bribery fraud,"rubbery, bribery, fraud",0.0,ABA,Arabic,,,2,False,B>P(s),1.08,asr_error_on_correct_speech
l2arctic_HQTV_arctic_a0028,l2arctic,offline,substitute,robbery,rubbery,[robbery] bribery fraud,Robbery bribery fraud,"rubbery, grippery froth.",0.0,HQTV,Vietnamese,,,2,False,AA1>AO1(s),0.19,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0062,l2arctic,offline,substitute,stared,started,the men [stared] into each other's,The men stared into each other's face,the men started into each other's face.,0.32,BWC,Mandarin,,,2,False,EH1>AA(s),0.23,asr_error_on_correct_speech
l2arctic_EBVS_arctic_a0062,l2arctic,offline,substitute,stared,started,the men [stared] into each other's,The men stared into each other's face,The men started into each other's face.,0.34,EBVS,Spanish,,,2,False,DH>D(s),0.25,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0026,l2arctic,offline,substitute,would,will,me that there [would] have to be,It occurred to me that there would have to be an accounting,It occurred to me that there will have to be an accounting.,2.3,BWC,Mandarin,,,2,False,T>sil(d),0.21,asr_error_on_correct_speech
l2arctic_EBVS_arctic_a0026,l2arctic,offline,substitute,would,will,me that there [would] have to be,It occurred to me that there would have to be an accounting,It occurred to me that there will have to be an accounting.,1.66,EBVS,Spanish,,,2,False,DH>D(s),0.17,asr_error_on_correct_speech
l2arctic_HQTV_arctic_a0052,l2arctic,offline,delete,a,,it was [a] curious coincidence,It was a curious coincidence,I was curious coincidence.,0.0,HQTV,Vietnamese,,,1,True,IH0>AY0(s),0.0,coincides_mispronunciation
l2arctic_HQTV_arctic_a0036,l2arctic,offline,delete,at,,she turned in [at] the hotel,She turned in at the hotel,She turned into the hotel.,0.6,HQTV,Vietnamese,,,1,True,ER1>AH0(s),0.0,coincides_mispronunciation
l2arctic_HQTV_arctic_a0067,l2arctic,offline,delete,cried,,excuse you she [cried],Surely I will excuse you she cried,Surely I will excuse your secret,1.8,HQTV,Vietnamese,,,1,True,SH>S(s),0.0,coincides_mispronunciation
