utt_id,dataset,speaker,accent,cefr,condition,mode,chunk_ms,left_ctx_ms,ref_text,hyp_text,duration_s,wer,cer,n_ref_words,substitutions,deletions,insertions,proc_time_s,rtf,mean_chunk_proc_s,algorithmic_latency_ms
l2arctic_ABA_arctic_a0038,l2arctic,ABA,Arabic,,offline,offline,,,We will have to watch our chances,We will have to watch our chances.,2.4,0.0,0.0,7,0,0,0,0.1571,0.0655,,
l2arctic_ABA_arctic_a0039,l2arctic,ABA,Arabic,,offline,offline,,,The ship should be in within a week or ten days,The ship should be in within a week or ten days.,3.852,0.0,0.0,11,0,0,0,0.1723,0.0447,,
l2arctic_ABA_arctic_a0040,l2arctic,ABA,Arabic,,offline,offline,,,I suppose you wonder why she is coming up here,I suppose you wonder why she is coming up here.,3.63,0.0,0.0,10,0,0,0,0.1784,0.0491,,
l2arctic_ABA_arctic_a0041,l2arctic,ABA,Arabic,,offline,offline,,,Meanwhile I'll go out to breathe a spell,"Meanwhile, I'll go out to breathe sperm.",2.88,0.25,0.1,8,1,1,0,0.1805,0.0627,,
l2arctic_ABA_arctic_a0042,l2arctic,ABA,Arabic,,offline,offline,,,How could he explain his possession of the sketch,How could he explain his position of the sketch?,3.986,0.1111111111111111,0.08163265306122448,9,1,0,0,0.1614,0.0405,,
l2arctic_ABA_arctic_a0045,l2arctic,ABA,Arabic,,offline,offline,,,He moved away as quietly as he had come,He moved away as quietly as he had come.,3.172,0.0,0.0,9,0,0,0,0.1758,0.0554,,
l2arctic_ABA_arctic_a0046,l2arctic,ABA,Arabic,,offline,offline,,,The girl faced him her eyes shining with sudden fear,"The girl faced him, her eyes shining with sudden fear.",4.539,0.0,0.0,10,0,0,0,0.1657,0.0365,,
l2arctic_ABA_arctic_a0047,l2arctic,ABA,Arabic,,offline,offline,,,Close beside him gleamed the white fangs of the wolf dog,"Close beside him, gleamed the white fangs of the wolf -duck.",5.069,0.09090909090909091,0.05357142857142857,11,1,0,0,0.1855,0.0366,,
l2arctic_ABA_arctic_a0048,l2arctic,ABA,Arabic,,offline,offline,,,He looked at the handkerchief more closely,He looked at the hand kerchief more closely.,3.869,0.2857142857142857,0.023809523809523808,7,1,0,1,0.1684,0.0435,,
l2arctic_ABA_arctic_a0051,l2arctic,ABA,Arabic,,offline,offline,,,The lace was of a delicate ivory color faintly tinted with yellow,"The lace was of a delicate ivory color, faintly tinted with yellow.",5.37,0.0,0.0,12,0,0,0,0.1918,0.0357,,
l2arctic_ABA_arctic_a0052,l2arctic,ABA,Arabic,,offline,offline,,,It was a curious coincidence,It was a curious coincidence.,2.018,0.0,0.0,5,0,0,0,0.1512,0.0749,,
l2arctic_ABA_arctic_a0053,l2arctic,ABA,Arabic,,offline,offline,,,Suddenly his fingers closed tightly over the handkerchief,"Suddenly, his fingers closed tightly over the hand crochet.",3.917,0.25,0.08771929824561403,8,1,0,1,0.1764,0.045,,
l2arctic_ABA_arctic_a0054,l2arctic,ABA,Arabic,,offline,offline,,,There was nothing on the rock,There was nothing on the rock.,1.989,0.0,0.0,6,0,0,0,0.1463,0.0736,,
l2arctic_ABA_arctic_a0058,l2arctic,ABA,Arabic,,offline,offline,,,I came for information more out of curiosity than anything else,I came for information more out of curiosity than anything else.,5.245,0.0,0.0,11,0,0,0,0.1693,0.0323,,
l2arctic_ABA_arctic_a0059,l2arctic,ABA,Arabic,,offline,offline,,,His immaculate appearance was gone,His immaculate appearance was gone.,2.9,0.0,0.0,5,0,0,0,0.1522,0.0525,,
l2arctic_ABA_arctic_a0060,l2arctic,ABA,Arabic,,offline,offline,,,Anyway no one saw her like that,"In a way, no one saw hair like that.",2.75,0.5714285714285714,0.1935483870967742,7,2,0,2,0.1685,0.0613,,
l2arctic_ABA_arctic_a0062,l2arctic,ABA,Arabic,,offline,offline,,,The men stared into each other's face,The men stared into each other's face.,2.882,0.0,0.0,7,0,0,0,0.1586,0.055,,
l2arctic_ABA_arctic_a0063,l2arctic,ABA,Arabic,,offline,offline,,,Yes it was a man who asked a stranger,"Yes, it was a man who asked a stranger",3.048,0.0,0.0,9,0,0,0,0.1574,0.0516,,
l2arctic_ABA_arctic_a0064,l2arctic,ABA,Arabic,,offline,offline,,,The fourth and fifth days passed without any developments,the 4th and 5th days passed without any developments.,4.028,0.2222222222222222,0.12280701754385964,9,2,0,0,0.1664,0.0413,,
l2arctic_ABA_arctic_a0065,l2arctic,ABA,Arabic,,offline,offline,,,They closed now until his fingers were like cords of steel,They closed now until his fingers were like cords of steel.,5.138,0.0,0.0,11,0,0,0,0.1687,0.0328,,
l2arctic_ABA_arctic_a0067,l2arctic,ABA,Arabic,,offline,offline,,,Surely I will excuse you she cried,"Surely, I will excuse you, she cried.",4.04,0.0,0.0,7,0,0,0,0.1662,0.0411,,
l2arctic_ABA_arctic_a0071,l2arctic,ABA,Arabic,,offline,offline,,,What was the object of your little sensation,What was the object of your little sensation?,4.034,0.0,0.0,8,0,0,0,0.1605,0.0398,,
l2arctic_ABA_arctic_a0073,l2arctic,ABA,Arabic,,offline,offline,,,The promoter's eyes were heavy with little puffy bags under them,The brew meter's eyes were heavy with little puffy pugs under them.,5.861,0.2727272727272727,0.109375,11,2,0,1,0.1973,0.0337,,
l2arctic_ABA_arctic_a0075,l2arctic,ABA,Arabic,,offline,offline,,,There has been a change she interrupted him,"There has been a change, she interrupted him",3.33,0.0,0.0,8,0,0,0,0.1631,0.049,,
l2arctic_ABA_arctic_a0076,l2arctic,ABA,Arabic,,offline,offline,,,The gray eyes faltered the flush deepened,The grey eyes filtered the flash deepened,4.103,0.42857142857142855,0.07317073170731707,7,3,0,0,0.1616,0.0394,,
l2arctic_ASI_arctic_a0003,l2arctic,ASI,Hindi,,offline,offline,,,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands.,3.719,0.09090909090909091,0.11864406779661017,11,1,0,0,0.1807,0.0486,,
l2arctic_ASI_arctic_a0005,l2arctic,ASI,Hindi,,offline,offline,,,Will we ever forget it,Will we ever forget it?,1.422,0.0,0.0,5,0,0,0,0.1495,0.1051,,
l2arctic_ASI_arctic_a0006,l2arctic,ASI,Hindi,,offline,offline,,,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I'll go on seeing them forever.,3.379,0.09090909090909091,0.04,11,1,0,0,0.2024,0.0599,,
l2arctic_ASI_arctic_a0007,l2arctic,ASI,Hindi,,offline,offline,,,And you always want to see it in the superlative degree,and you will always want to see it in the superlative degree.,3.058,0.09090909090909091,0.09090909090909091,11,0,0,1,0.1833,0.06,,
l2arctic_ASI_arctic_a0008,l2arctic,ASI,Hindi,,offline,offline,,,Gad your letter came just in time,"Gad, your letter came just in time.",2.302,0.0,0.0,7,0,0,0,0.1674,0.0727,,
l2arctic_ASI_arctic_a0010,l2arctic,ASI,Hindi,,offline,offline,,,I'm playing a single hand in what looks like a losing game,I am playing a single hand in what looks like a losing game.,3.219,0.16666666666666666,0.034482758620689655,12,1,0,1,0.2059,0.064,,
l2arctic_ASI_arctic_a0011,l2arctic,ASI,Hindi,,offline,offline,,,If I ever needed a fighter in my life I need one now,"If I ever needed a fighter in my life, I need one now.",3.161,0.0,0.0,13,0,0,0,0.1864,0.059,,
l2arctic_ASI_arctic_a0013,l2arctic,ASI,Hindi,,offline,offline,,,He was a head shorter than his companion of almost delicate physique,He was a head shorter than his companion of almost delicate physique.,4.211,0.0,0.0,12,0,0,0,0.1831,0.0435,,
l2arctic_ASI_arctic_a0018,l2arctic,ASI,Hindi,,offline,offline,,,There was a change now,There was a change now.,1.29,0.0,0.0,5,0,0,0,0.1488,0.1153,,
l2arctic_ASI_arctic_a0019,l2arctic,ASI,Hindi,,offline,offline,,,I followed the line of the proposed railroad looking for chances,I followed the line of the proposed railroad looking for chances.,3.88,0.0,0.0,11,0,0,0,0.1783,0.046,,
l2arctic_ASI_arctic_a0020,l2arctic,ASI,Hindi,,offline,offline,,,Clubs and balls and cities grew to be only memories,clubs and balls and cities grew to be only memories.,3.608,0.0,0.0,10,0,0,0,0.161,0.0446,,
l2arctic_ASI_arctic_a0021,l2arctic,ASI,Hindi,,offline,offline,,,It fairly clubbed me into recognizing it,It fairly clogged me into recognizing it.,2.502,0.14285714285714285,0.075,7,1,0,0,0.184,0.0735,,
l2arctic_ASI_arctic_a0022,l2arctic,ASI,Hindi,,offline,offline,,,Hardly were our plans made public before we were met by powerful opposition,Hardly were our plans made public before we were met by powerful opposition.,4.16,0.0,0.0,13,0,0,0,0.195,0.0469,,
l2arctic_ASI_arctic_a0023,l2arctic,ASI,Hindi,,offline,offline,,,A combination of Canadian capital quickly organized and petitioned for the same privileges,a combination of Canadian capital quickly organized and petitioned for the same privileges.,5.31,0.0,0.0,13,0,0,0,0.1826,0.0344,,
l2arctic_ASI_arctic_a0024,l2arctic,ASI,Hindi,,offline,offline,,,It was my reports from the north which chiefly induced people to buy,It was my report from the north which chiefly induced people to buy.,3.821,0.07692307692307693,0.014705882352941176,13,1,0,0,0.1844,0.0483,,
l2arctic_ASI_arctic_a0025,l2arctic,ASI,Hindi,,offline,offline,,,I was about to do this when cooler judgment prevailed,I was about to do this when cooler judgment prevailed.,2.964,0.0,0.0,10,0,0,0,0.1619,0.0546,,
l2arctic_ASI_arctic_a0026,l2arctic,ASI,Hindi,,offline,offline,,,It occurred to me that there would have to be an accounting,It occurred to me that there would have to be an accounting.,3.437,0.0,0.0,12,0,0,0,0.1764,0.0513,,
l2arctic_ASI_arctic_a0027,l2arctic,ASI,Hindi,,offline,offline,,,To my surprise he began to show actual enthusiasm in my favor,"To my surprise, he began to show actual enthusiasm in my favor.",4.04,0.0,0.0,12,0,0,0,0.2282,0.0565,,
l2arctic_ASI_arctic_a0028,l2arctic,ASI,Hindi,,offline,offline,,,Robbery bribery fraud,"robbery, bribery, fraud.",2.239,0.0,0.0,3,0,0,0,0.1767,0.0789,,
l2arctic_ASI_arctic_a0029,l2arctic,ASI,Hindi,,offline,offline,,,Their forces were already moving into the north country,Their forces were already moving into the North Country.,2.999,0.0,0.0,9,0,0,0,0.2063,0.0688,,
l2arctic_ASI_arctic_a0030,l2arctic,ASI,Hindi,,offline,offline,,,I had faith in them,I had faith in them.,1.451,0.0,0.0,5,0,0,0,0.2019,0.1391,,
l2arctic_ASI_arctic_a0031,l2arctic,ASI,Hindi,,offline,offline,,,They were three hundred yards apart,They were 300 yards apart.,2.042,0.3333333333333333,0.37142857142857144,6,1,1,0,0.2045,0.1001,,
l2arctic_ASI_arctic_a0032,l2arctic,ASI,Hindi,,offline,offline,,,Since then some mysterious force has been fighting us at every step,"Since then, some mysterious force has been fighting us at every step.",4.229,0.0,0.0,12,0,0,0,0.2616,0.0618,,
l2arctic_ASI_arctic_a0036,l2arctic,ASI,Hindi,,offline,offline,,,She turned in at the hotel,She turned in at the hotel.,1.7,0.0,0.0,6,0,0,0,0.2128,0.1252,,
l2arctic_ASI_arctic_a0037,l2arctic,ASI,Hindi,,offline,offline,,,I was the only one who remained sitting,I was the only one who remained sitting.,2.523,0.0,0.0,8,0,0,0,0.2119,0.084,,
l2arctic_ASI_arctic_a0038,l2arctic,ASI,Hindi,,offline,offline,,,We'll have to watch our chances,We'll have to watch our chances.,2.031,0.0,0.0,6,0,0,0,0.2122,0.1044,,
l2arctic_ASI_arctic_a0039,l2arctic,ASI,Hindi,,offline,offline,,,The ship should be in within a week or ten days,The ship should be in within a week or 10 days.,2.742,0.09090909090909091,0.06382978723404255,11,1,0,0,0.2394,0.0873,,
l2arctic_ASI_arctic_a0040,l2arctic,ASI,Hindi,,offline,offline,,,I suppose you wonder why she is coming up here,I suppose you wonder why she is coming up here.,2.636,0.0,0.0,10,0,0,0,0.2256,0.0856,,
l2arctic_ASI_arctic_a0041,l2arctic,ASI,Hindi,,offline,offline,,,Meanwhile I'll go out to breathe a spell,"Meanwhile, I'll go out to breath a spell.",2.471,0.125,0.025,8,1,0,0,0.231,0.0935,,
l2arctic_ASI_arctic_a0042,l2arctic,ASI,Hindi,,offline,offline,,,How could he explain his possession of the sketch,How could he explain his possession of the sketch?,2.581,0.0,0.0,9,0,0,0,0.219,0.0848,,
l2arctic_ASI_arctic_a0045,l2arctic,ASI,Hindi,,offline,offline,,,He moved away as quietly as he had come,He moved away as quietly as he had come.,2.407,0.0,0.0,9,0,0,0,0.1749,0.0727,,
l2arctic_ASI_arctic_a0046,l2arctic,ASI,Hindi,,offline,offline,,,The girl faced him her eyes shining with sudden fear,"The girl faced him, her eyes shining with sudden fear.",3.066,0.0,0.0,10,0,0,0,0.1704,0.0556,,
l2arctic_ASI_arctic_a0047,l2arctic,ASI,Hindi,,offline,offline,,,Close beside him gleamed the white fangs of the wolf dog,Close beside him gleamed the white fangs of the wolf dog.,3.952,0.0,0.0,11,0,0,0,0.1901,0.0481,,
l2arctic_ASI_arctic_a0048,l2arctic,ASI,Hindi,,offline,offline,,,He looked at the handkerchief more closely,He looked at the handkerchief more closely.,2.731,0.0,0.0,7,0,0,0,0.162,0.0593,,
l2arctic_ASI_arctic_a0051,l2arctic,ASI,Hindi,,offline,offline,,,The lace was of a delicate ivory color faintly tinted with yellow,"The lace was of a delicate ivory color, faintly tinted with yellow.",4.16,0.0,0.0,12,0,0,0,0.1897,0.0456,,
l2arctic_ASI_arctic_a0052,l2arctic,ASI,Hindi,,offline,offline,,,It was a curious coincidence,It was a curious coincidence.,2.098,0.0,0.0,5,0,0,0,0.1518,0.0723,,
l2arctic_ASI_arctic_a0053,l2arctic,ASI,Hindi,,offline,offline,,,Suddenly his fingers closed tightly over the handkerchief,Suddenly his fingers closed tightly over the handkerchief.,3.111,0.0,0.0,8,0,0,0,0.1732,0.0557,,
l2arctic_ASI_arctic_a0054,l2arctic,ASI,Hindi,,offline,offline,,,There was nothing on the rock,There was nothing on the rock.,1.663,0.0,0.0,6,0,0,0,0.1515,0.0911,,
l2arctic_ASI_arctic_a0058,l2arctic,ASI,Hindi,,offline,offline,,,I came for information more out of curiosity than anything else,I came for information more out of curiosity than anything else.,4.172,0.0,0.0,11,0,0,0,0.1966,0.0471,,
l2arctic_ASI_arctic_a0059,l2arctic,ASI,Hindi,,offline,offline,,,His immaculate appearance was gone,His immaculate appearance was gone.,2.103,0.0,0.0,5,0,0,0,0.1514,0.072,,
l2arctic_ASI_arctic_a0060,l2arctic,ASI,Hindi,,offline,offline,,,Anyway no one saw her like that,"Anyway, no one saw her like that.",2.284,0.0,0.0,7,0,0,0,0.1566,0.0686,,
l2arctic_ASI_arctic_a0062,l2arctic,ASI,Hindi,,offline,offline,,,The men stared into each other's face,The men stared into each other's face.,2.203,0.0,0.0,7,0,0,0,0.1592,0.0723,,
l2arctic_ASI_arctic_a0063,l2arctic,ASI,Hindi,,offline,offline,,,Yes it was a man who asked a stranger,"Yes, it was a man who asked a stranger.",2.879,0.0,0.0,9,0,0,0,0.1744,0.0606,,
l2arctic_ASI_arctic_a0064,l2arctic,ASI,Hindi,,offline,offline,,,The fourth and fifth days passed without any developments,The 4th and 5th days passed without any developments.,3.028,0.2222222222222222,0.12280701754385964,9,2,0,0,0.1766,0.0583,,
l2arctic_ASI_arctic_a0065,l2arctic,ASI,Hindi,,offline,offline,,,They closed now until his fingers were like cords of steel,They closed now until his fingers were like cords of steel.,3.186,0.0,0.0,11,0,0,0,0.1974,0.0619,,
l2arctic_ASI_arctic_a0067,l2arctic,ASI,Hindi,,offline,offline,,,Surely I will excuse you she cried,"Surely I will excuse you, she cried.",2.53,0.0,0.0,7,0,0,0,0.1696,0.067,,
l2arctic_ASI_arctic_a0071,l2arctic,ASI,Hindi,,offline,offline,,,What was the object of your little sensation,What was the object of your little sensation?,2.28,0.0,0.0,8,0,0,0,0.1573,0.069,,
l2arctic_ASI_arctic_a0073,l2arctic,ASI,Hindi,,offline,offline,,,The promoter's eyes were heavy with little puffy bags under them,The promoter's eyes were heavy with little puffy bags under them.,3.794,0.0,0.0,11,0,0,0,0.1869,0.0493,,
l2arctic_ASI_arctic_a0075,l2arctic,ASI,Hindi,,offline,offline,,,There has been a change she interrupted him,"There has been a change, she interrupted him.",2.069,0.0,0.0,8,0,0,0,0.1647,0.0796,,
l2arctic_ASI_arctic_a0076,l2arctic,ASI,Hindi,,offline,offline,,,The gray eyes faltered the flush deepened,"The grey ice faltered, the flush deepened.",2.807,0.2857142857142857,0.0975609756097561,7,2,0,0,0.1666,0.0594,,
l2arctic_BWC_arctic_a0003,l2arctic,BWC,Mandarin,,offline,offline,,,For the twentieth time that evening the two men shook hands,for the 20 times that evening the two men shook hands.,4.635,0.18181818181818182,0.1694915254237288,11,2,0,0,0.1867,0.0403,,
l2arctic_BWC_arctic_a0005,l2arctic,BWC,Mandarin,,offline,offline,,,Will we ever forget it,Will we ever forget it?,2.074,0.0,0.0,5,0,0,0,0.1522,0.0734,,
l2arctic_BWC_arctic_a0006,l2arctic,BWC,Mandarin,,offline,offline,,,God bless 'em I hope I will go on seeing them forever,God bless them. I hope I will go on seeing them forever.,5.064,0.08333333333333333,0.038461538461538464,12,1,0,0,0.1889,0.0373,,
l2arctic_BWC_arctic_a0007,l2arctic,BWC,Mandarin,,offline,offline,,,And you always want to see it in the superlative degree,and you always want to see it in the superlative degree.,4.028,0.0,0.0,11,0,0,0,0.1796,0.0446,,
l2arctic_BWC_arctic_a0008,l2arctic,BWC,Mandarin,,offline,offline,,,Gad your letter came just in time,"God, your letter came just in time.",3.235,0.14285714285714285,0.030303030303030304,7,1,0,0,0.1624,0.0502,,
l2arctic_BWC_arctic_a0010,l2arctic,BWC,Mandarin,,offline,offline,,,I'm playing a single hand in what looks like a losing game,and playing a single hand in what looks like a lost game.,3.971,0.16666666666666666,0.10344827586206896,12,2,0,0,0.1849,0.0466,,
l2arctic_BWC_arctic_a0011,l2arctic,BWC,Mandarin,,offline,offline,,,If I ever needed a fighter in my life I need one now,"If I ever needed a fighter in my life, I need one now.",4.726,0.0,0.0,13,0,0,0,0.1986,0.042,,
l2arctic_BWC_arctic_a0013,l2arctic,BWC,Mandarin,,offline,offline,,,He was a head shorter than his companion of almost delicate physique,he was a head shorter than his companion of almost delicate physics.,5.787,0.08333333333333333,0.04411764705882353,12,1,0,0,0.1791,0.0309,,
l2arctic_BWC_arctic_a0018,l2arctic,BWC,Mandarin,,offline,offline,,,There was a change now,There was a change now.,1.75,0.0,0.0,5,0,0,0,0.1484,0.0848,,
l2arctic_BWC_arctic_a0019,l2arctic,BWC,Mandarin,,offline,offline,,,I followed the line of the proposed railroad looking for chances,I followed the line of the proper railroad looking for chance.,5.99,0.18181818181818182,0.0625,11,2,0,0,0.1677,0.028,,
l2arctic_BWC_arctic_a0020,l2arctic,BWC,Mandarin,,offline,offline,,,Clubs and balls and cities grew to be only memories,clubs and bars and cities grew to be only memories.,5.242,0.1,0.0392156862745098,10,1,0,0,0.1822,0.0347,,
l2arctic_BWC_arctic_a0021,l2arctic,BWC,Mandarin,,offline,offline,,,It fairly clubbed me into recognizing it,it fairly re -clapped me into recognizing it.,4.298,0.2857142857142857,0.15,7,1,0,1,0.1728,0.0402,,
l2arctic_BWC_arctic_a0022,l2arctic,BWC,Mandarin,,offline,offline,,,Hardly were our plans made public before we were met by powerful opposition,Hardly were our plans made public before we were made by powerful opposition.,7.846,0.07692307692307693,0.04,13,1,0,0,0.2002,0.0255,,
l2arctic_BWC_arctic_a0023,l2arctic,BWC,Mandarin,,offline,offline,,,A combination of Canadian capital quickly organized and petitioned for the same privileges,a combination of Canadian capital quickly organized and petitioned for the same privilege.,8.004,0.07692307692307693,0.011111111111111112,13,1,0,0,0.1844,0.023,,
l2arctic_BWC_arctic_a0024,l2arctic,BWC,Mandarin,,offline,offline,,,It was my reports from the north which chiefly induced people to buy,It was my reports from the north which chiefly induced people to buy.,6.081,0.0,0.0,13,0,0,0,0.1793,0.0295,,
l2arctic_BWC_arctic_a0025,l2arctic,BWC,Mandarin,,offline,offline,,,I was about to do this when cooler judgment prevailed,I was about to do this one cooler document previewed.,4.675,0.3,0.18867924528301888,10,3,0,0,0.1698,0.0363,,
l2arctic_BWC_arctic_a0026,l2arctic,BWC,Mandarin,,offline,offline,,,It occurred to me that there would have to be an accounting,It occurred to me that there will have to be an accounting.,5.146,0.08333333333333333,0.05084745762711865,12,1,0,0,0.1799,0.035,,
l2arctic_BWC_arctic_a0027,l2arctic,BWC,Mandarin,,offline,offline,,,To my surprise he began to show actual enthusiasm in my favor,"To my surprise, he began to show actual enthusiasm in my favor.",6.979,0.0,0.0,12,0,0,0,0.1794,0.0257,,
l2arctic_BWC_arctic_a0028,l2arctic,BWC,Mandarin,,offline,offline,,,Robbery bribery fraud,"robbery, bribery, fraud.",2.591,0.0,0.0,3,0,0,0,0.1677,0.0647,,
l2arctic_BWC_arctic_a0029,l2arctic,BWC,Mandarin,,offline,offline,,,Their forces were already moving into the north country,their forces were already moving into the north country.,4.488,0.0,0.0,9,0,0,0,0.1607,0.0358,,
l2arctic_BWC_arctic_a0030,l2arctic,BWC,Mandarin,,offline,offline,,,I had faith in them,I had faith in them.,2.145,0.0,0.0,5,0,0,0,0.1516,0.0707,,
l2arctic_BWC_arctic_a0031,l2arctic,BWC,Mandarin,,offline,offline,,,They were three hundred yards apart,they were 300 yards apart.,2.912,0.3333333333333333,0.37142857142857144,6,1,1,0,0.1555,0.0534,,
l2arctic_BWC_arctic_a0032,l2arctic,BWC,Mandarin,,offline,offline,,,Since then some mysterious force has been fighting us at every step,"Since then, some mysterious force has been fighting us at every step.",6.541,0.0,0.0,12,0,0,0,0.1826,0.0279,,
l2arctic_BWC_arctic_a0036,l2arctic,BWC,Mandarin,,offline,offline,,,She turned in at the hotel,She turned in and at the hotel.,2.704,0.16666666666666666,0.15384615384615385,6,0,0,1,0.1544,0.0571,,
l2arctic_BWC_arctic_a0037,l2arctic,BWC,Mandarin,,offline,offline,,,I was the only one who remained sitting,I was the only one who reminded sitting.,3.336,0.125,0.05128205128205128,8,1,0,0,0.1702,0.051,,
