utt_id,accent,cefr,ref,baseline_hyp,adapted_hyp,changed,wer_baseline,wer_adapted
l2arctic_ABA_arctic_a0023,Arabic,,A combination of Canadian capital quickly organized and petitioned for the same privileges,a combination of Canadian capital quickly organized and petitioned for the same privileges.,a combination of Canadian capital quickly organized and petitioned for the same privileges.,False,0.0,0.0
l2arctic_ABA_arctic_a0025,Arabic,,I was about to do this when cooler judgment prevailed,I was about to do this when cooler judgment prevailed.,I was about to do this when cooler judgment prevailed.,False,0.0,0.0
l2arctic_ABA_arctic_a0026,Arabic,,It occurred to me that there would have to be an accounting,It occurred to me that there would have to be an accounting.,It occurred to me that there would have to be an accounting.,False,0.0,0.0
l2arctic_ABA_arctic_a0027,Arabic,,To my surprise he began to show actual enthusiasm in my favor,"To my surprise, he began to show actual enthusiasm in my favor.","To my surprise, he began to show actual enthusiasm in my favor.",False,0.0,0.0
l2arctic_ABA_arctic_a0028,Arabic,,Robbery bribery fraud,"robbery, bribery, fraud,","robbery, bribery, fraud,",False,0.0,0.0
l2arctic_ABA_arctic_a0029,Arabic,,Their forces were already moving into the north country,their forces were already moving into the north country.,their forces were already moving into the north country.,False,0.0,0.0
l2arctic_ABA_arctic_a0030,Arabic,,I had faith in them,I had faith in them.,I had faith in them.,False,0.0,0.0
l2arctic_ABA_arctic_a0031,Arabic,,They were three hundred yards apart,They were 300 yards apart.,They were 300 yards apart.,False,0.3333333333333333,0.3333333333333333
l2arctic_ABA_arctic_a0032,Arabic,,Since then some mysterious force has been fighting us at every step,"Since then, some monstrous force has been fighting us at every step.","Since then, some monstrous force has been fighting us at every step.",False,0.08333333333333333,0.08333333333333333
l2arctic_ABA_arctic_a0036,Arabic,,She turned in at the hotel,She turned it in at the hotel.,She turned it in at the hotel.,False,0.16666666666666666,0.16666666666666666
l2arctic_ABA_arctic_a0038,Arabic,,We will have to watch our chances,We will have to watch our chances.,We will have to watch our chances.,False,0.0,0.0
l2arctic_ABA_arctic_a0039,Arabic,,The ship should be in within a week or ten days,The ship should be in within a week or ten days.,The ship should be in within a week or ten days.,False,0.0,0.0
l2arctic_ABA_arctic_a0040,Arabic,,I suppose you wonder why she is coming up here,I suppose you wonder why she is coming up here.,I suppose you wonder why she is coming up here.,False,0.0,0.0
l2arctic_ABA_arctic_a0041,Arabic,,Meanwhile I'll go out to breathe a spell,meanwhile i'll go out to breathe sperm,meanwhile i'll go out to breathe sperm,False,0.25,0.25
l2arctic_ABA_arctic_a0045,Arabic,,He moved away as quietly as he had come,He moved away as quietly as he had come.,He moved away as quietly as he had come.,False,0.0,0.0
l2arctic_ABA_arctic_a0046,Arabic,,The girl faced him her eyes shining with sudden fear,"The girl faced him, her eyes shining with sudden fear.","The girl faced him, her eyes shining with sudden fear.",False,0.0,0.0
l2arctic_ABA_arctic_a0047,Arabic,,Close beside him gleamed the white fangs of the wolf dog,"close beside him, gleamed the white fangs of the wolf-duck.","close beside him, gleamed the white fangs of the wolf-duck.",False,0.09090909090909091,0.09090909090909091
l2arctic_ABA_arctic_a0048,Arabic,,He looked at the handkerchief more closely,He looked at the hand kerchief more closely.,He looked at the hand kerchief more closely.,False,0.2857142857142857,0.2857142857142857
l2arctic_ABA_arctic_a0052,Arabic,,It was a curious coincidence,It was a curious coincidence.,It was a curious coincidence.,False,0.0,0.0
l2arctic_ABA_arctic_a0053,Arabic,,Suddenly his fingers closed tightly over the handkerchief,Suddenly his fingers closed tightly over the hand crochet.,Suddenly his fingers closed tightly over the hand crochet.,False,0.25,0.25
l2arctic_ABA_arctic_a0054,Arabic,,There was nothing on the rock,There was nothing on the rock.,There was nothing on the rock.,False,0.0,0.0
l2arctic_ABA_arctic_a0058,Arabic,,I came for information more out of curiosity than anything else,I came for information more out of curiosity than anything else.,I came for information more out of curiosity than anything else.,False,0.0,0.0
l2arctic_ABA_arctic_a0059,Arabic,,His immaculate appearance was gone,His immaculate appearance was gone.,His immaculate appearance was gone.,False,0.0,0.0
l2arctic_ABA_arctic_a0060,Arabic,,Anyway no one saw her like that,"Anyway, no one saw hair like that.","Anyway, no one saw hair like that.",False,0.14285714285714285,0.14285714285714285
l2arctic_ABA_arctic_a0062,Arabic,,The men stared into each other's face,The men stared into each other's face.,The men stared into each other's face.,False,0.0,0.0
l2arctic_ABA_arctic_a0063,Arabic,,Yes it was a man who asked a stranger,"Yes, it was a man who asked a stranger","Yes, it was a man who asked a stranger",False,0.0,0.0
l2arctic_ABA_arctic_a0064,Arabic,,The fourth and fifth days passed without any developments,the fourth and fifth days passed without any developments.,the fourth and fifth days passed without any developments.,False,0.0,0.0
l2arctic_ABA_arctic_a0065,Arabic,,They closed now until his fingers were like cords of steel,They closed now until his fingers were like cords of steel.,They closed now until his fingers were like cords of steel.,False,0.0,0.0
l2arctic_ABA_arctic_a0067,Arabic,,Surely I will excuse you she cried,"Surely, I will excuse you, she cried.","Surely, I will excuse you, she cried.",False,0.0,0.0
l2arctic_ABA_arctic_a0071,Arabic,,What was the object of your little sensation,What was the object of your little sensation?,What was the object of your little sensation?,False,0.0,0.0
l2arctic_ABA_arctic_a0073,Arabic,,The promoter's eyes were heavy with little puffy bags under them,The brew meter's eyes were heavy with little puffy bugs under them.,The brew meter's eyes were heavy with little puffy bugs under them.,False,0.2727272727272727,0.2727272727272727
l2arctic_ABA_arctic_a0075,Arabic,,There has been a change she interrupted him,"There has been a change, she interrupted him","There has been a change, she interrupted him",False,0.0,0.0
l2arctic_ABA_arctic_a0076,Arabic,,The gray eyes faltered the flush deepened,The grey eyes filtered the flesh deepened,The grey eyes filtered the flesh deepened,False,0.42857142857142855,0.42857142857142855
l2arctic_ASI_arctic_a0003,Hindi,,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands.,for the 20th time that evening the two men shook hands.,False,0.09090909090909091,0.09090909090909091
l2arctic_ASI_arctic_a0005,Hindi,,Will we ever forget it,Will we ever forget it?,Will we ever forget it?,False,0.0,0.0
l2arctic_ASI_arctic_a0006,Hindi,,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I'll go on seeing them forever.,God bless them. I hope I'll go on seeing them forever.,False,0.09090909090909091,0.09090909090909091
l2arctic_ASI_arctic_a0008,Hindi,,Gad your letter came just in time,"Gad, your letter came just in time.","Gad, your letter came just in time.",False,0.0,0.0
l2arctic_ASI_arctic_a0010,Hindi,,I'm playing a single hand in what looks like a losing game,I am playing a single hand in what looks like a losing game.,I am playing a single hand in what looks like a losing game.,False,0.16666666666666666,0.16666666666666666
l2arctic_ASI_arctic_a0011,Hindi,,If I ever needed a fighter in my life I need one now,"If I ever needed a fighter in my life, I need one now.","If I ever needed a fighter in my life, I need one now.",False,0.0,0.0
l2arctic_ASI_arctic_a0018,Hindi,,There was a change now,There was a change now.,There was a change now.,False,0.0,0.0
l2arctic_ASI_arctic_a0019,Hindi,,I followed the line of the proposed railroad looking for chances,I followed the line of the proposed railroad looking for chances.,I followed the line of the proposed railroad looking for chances.,False,0.0,0.0
l2arctic_ASI_arctic_a0020,Hindi,,Clubs and balls and cities grew to be only memories,clubs and balls and cities grew to be only memories.,clubs and balls and cities grew to be only memories.,False,0.0,0.0
l2arctic_ASI_arctic_a0025,Hindi,,I was about to do this when cooler judgment prevailed,I was about to do this when cooler judgment prevailed.,I was about to do this when cooler judgment prevailed.,False,0.0,0.0
l2arctic_ASI_arctic_a0028,Hindi,,Robbery bribery fraud,"robbery, bribery, fraud.","robbery, bribery, fraud.",False,0.0,0.0
l2arctic_ASI_arctic_a0029,Hindi,,Their forces were already moving into the north country,Their forces were already moving into the north country.,Their forces were already moving into the north country.,False,0.0,0.0
l2arctic_ASI_arctic_a0030,Hindi,,I had faith in them,I had faith in them.,I had faith in them.,False,0.0,0.0
l2arctic_ASI_arctic_a0036,Hindi,,She turned in at the hotel,She turned in at the hotel.,She turned in at the hotel.,False,0.0,0.0
l2arctic_ASI_arctic_a0038,Hindi,,We'll have to watch our chances,We'll have to watch our chances.,We'll have to watch our chances.,False,0.0,0.0
l2arctic_ASI_arctic_a0039,Hindi,,The ship should be in within a week or ten days,The ship should be in within a week or 10 days.,The ship should be in within a week or 10 days.,False,0.09090909090909091,0.09090909090909091
l2arctic_ASI_arctic_a0040,Hindi,,I suppose you wonder why she is coming up here,I suppose you wonder why she is coming up here.,I suppose you wonder why she is coming up here.,False,0.0,0.0
l2arctic_ASI_arctic_a0041,Hindi,,Meanwhile I'll go out to breathe a spell,"Meanwhile, I'll go out to breath a spell.","Meanwhile, I'll go out to breath a spell.",False,0.125,0.125
l2arctic_ASI_arctic_a0045,Hindi,,He moved away as quietly as he had come,He moved away as quietly as he had come.,He moved away as quietly as he had come.,False,0.0,0.0
l2arctic_ASI_arctic_a0046,Hindi,,The girl faced him her eyes shining with sudden fear,"The girl faced him, her eyes shining with sudden fear.","The girl faced him, her eyes shining with sudden fear.",False,0.0,0.0
l2arctic_ASI_arctic_a0047,Hindi,,Close beside him gleamed the white fangs of the wolf dog,Close beside him gleamed the white fangs of the wolf-dog.,Close beside him gleamed the white fangs of the wolf-dog.,False,0.0,0.0
l2arctic_ASI_arctic_a0048,Hindi,,He looked at the handkerchief more closely,He looked at the handkerchief more closely.,He looked at the handkerchief more closely.,False,0.0,0.0
l2arctic_ASI_arctic_a0052,Hindi,,It was a curious coincidence,It was a curious coincidence.,It was a curious coincidence.,False,0.0,0.0
l2arctic_ASI_arctic_a0053,Hindi,,Suddenly his fingers closed tightly over the handkerchief,Suddenly his fingers closed tightly over the handkerchief.,Suddenly his fingers closed tightly over the handkerchief.,False,0.0,0.0
l2arctic_ASI_arctic_a0054,Hindi,,There was nothing on the rock,There was nothing on the rock.,There was nothing on the rock.,False,0.0,0.0
l2arctic_ASI_arctic_a0058,Hindi,,I came for information more out of curiosity than anything else,I came for information more out of curiosity than anything else.,I came for information more out of curiosity than anything else.,False,0.0,0.0
l2arctic_ASI_arctic_a0059,Hindi,,His immaculate appearance was gone,His immaculate appearance was gone.,His immaculate appearance was gone.,False,0.0,0.0
l2arctic_ASI_arctic_a0060,Hindi,,Anyway no one saw her like that,"Anyway, no one saw her like that.","Anyway, no one saw her like that.",False,0.0,0.0
l2arctic_ASI_arctic_a0063,Hindi,,Yes it was a man who asked a stranger,"Yes, it was a man who asked a stranger.","Yes, it was a man who asked a stranger.",False,0.0,0.0
l2arctic_ASI_arctic_a0064,Hindi,,The fourth and fifth days passed without any developments,The 4th and 5th days passed without any developments.,The 4th and 5th days passed without any developments.,False,0.2222222222222222,0.2222222222222222
l2arctic_ASI_arctic_a0065,Hindi,,They closed now until his fingers were like cords of steel,They closed now until his fingers were like cords of steel.,They closed now until his fingers were like cords of steel.,False,0.0,0.0
l2arctic_ASI_arctic_a0071,Hindi,,What was the object of your little sensation,What was the object of your little sensation?,What was the object of your little sensation?,False,0.0,0.0
l2arctic_ASI_arctic_a0073,Hindi,,The promoter's eyes were heavy with little puffy bags under them,The promoter's eyes were heavy with little puffy bags under them.,The promoter's eyes were heavy with little puffy bags under them.,False,0.0,0.0
l2arctic_ASI_arctic_a0075,Hindi,,There has been a change she interrupted him,"There has been a change, she interrupted him.","There has been a change, she interrupted him.",False,0.0,0.0
l2arctic_BWC_arctic_a0005,Mandarin,,Will we ever forget it,will we ever forget it?,will we ever forget it?,False,0.0,0.0
l2arctic_BWC_arctic_a0006,Mandarin,,God bless 'em I hope I will go on seeing them forever,God bless them. I hope I will go on seeing them forever.,God bless them. I hope I will go on seeing them forever.,False,0.08333333333333333,0.08333333333333333
l2arctic_BWC_arctic_a0010,Mandarin,,I'm playing a single hand in what looks like a losing game,and playing a single hand in what looks like a lost game.,and playing a single hand in what looks like a lost game.,False,0.16666666666666666,0.16666666666666666
l2arctic_BWC_arctic_a0011,Mandarin,,If I ever needed a fighter in my life I need one now,If I ever needed a fighter in my life I need one now.,If I ever needed a fighter in my life I need one now.,False,0.0,0.0
l2arctic_BWC_arctic_a0013,Mandarin,,He was a head shorter than his companion of almost delicate physique,he was a head shorter than his companion of almost delicate physics.,he was a head shorter than his companion of almost delicate physics.,False,0.08333333333333333,0.08333333333333333
l2arctic_BWC_arctic_a0019,Mandarin,,I followed the line of the proposed railroad looking for chances,I followed the line of the proper railroad looking for chance.,I followed the line of the proper railroad looking for chance.,False,0.18181818181818182,0.18181818181818182
l2arctic_BWC_arctic_a0021,Mandarin,,It fairly clubbed me into recognizing it,it fairly re-clapped me into recognizing it.,it fairly re-clapped me into recognizing it.,False,0.2857142857142857,0.2857142857142857
l2arctic_BWC_arctic_a0022,Mandarin,,Hardly were our plans made public before we were met by powerful opposition,Hardly were our plans made public before we were made by powerful opposition.,Hardly were our plans made public before we were made by powerful opposition.,False,0.07692307692307693,0.07692307692307693
l2arctic_BWC_arctic_a0024,Mandarin,,It was my reports from the north which chiefly induced people to buy,It was my reports from the north which chiefly induced people to buy.,It was my reports from the north which chiefly induced people to buy.,False,0.0,0.0
l2arctic_BWC_arctic_a0026,Mandarin,,It occurred to me that there would have to be an accounting,It occurred to me that there will have to be an accounting.,It occurred to me that there will have to be an accounting.,False,0.08333333333333333,0.08333333333333333
l2arctic_BWC_arctic_a0027,Mandarin,,To my surprise he began to show actual enthusiasm in my favor,"To my surprise, he began to show actual enthusiasm in my favor.","To my surprise, he began to show actual enthusiasm in my favor.",False,0.0,0.0
l2arctic_BWC_arctic_a0028,Mandarin,,Robbery bribery fraud,robbery bribery fraud,robbery bribery fraud,False,0.0,0.0
l2arctic_BWC_arctic_a0029,Mandarin,,Their forces were already moving into the north country,their forces were already moving into the north country.,their forces were already moving into the north country.,False,0.0,0.0
l2arctic_BWC_arctic_a0030,Mandarin,,I had faith in them,I had faith in them.,I had faith in them.,False,0.0,0.0
l2arctic_BWC_arctic_a0031,Mandarin,,They were three hundred yards apart,they were 300 yards apart.,they were 300 yards apart.,False,0.3333333333333333,0.3333333333333333
l2arctic_BWC_arctic_a0036,Mandarin,,She turned in at the hotel,She turned in and at the hotel.,She turned in and at the hotel.,False,0.16666666666666666,0.16666666666666666
l2arctic_BWC_arctic_a0037,Mandarin,,I was the only one who remained sitting,I was the only one who reminded sitting.,I was the only one who reminded sitting.,False,0.125,0.125
l2arctic_BWC_arctic_a0039,Mandarin,,The ship should be in within a week or ten days,The sheep should be eaten within a week or 10 days.,The sheep should be eaten within a week or 10 days.,False,0.2727272727272727,0.2727272727272727
l2arctic_BWC_arctic_a0040,Mandarin,,I suppose you wonder why she is coming up here,I suppose you wonder why she's coming up here.,I suppose you wonder why she's coming up here.,False,0.2,0.2
l2arctic_BWC_arctic_a0041,Mandarin,,Meanwhile I will go out to breathe a spell,Meanwhile I will go out to breathe a spell.,Meanwhile I will go out to breathe a spell.,False,0.0,0.0
l2arctic_BWC_arctic_a0042,Mandarin,,How could he explain his possession of the sketch,How would she explain his perception of the sketch?,How would she explain his perception of the sketch?,False,0.3333333333333333,0.3333333333333333
l2arctic_BWC_arctic_a0046,Mandarin,,The girl faced him her eyes shining with sudden fear,"The girl faced him, her eyes shining with shouted fear.","The girl faced him, her eyes shining with shouted fear.",False,0.1,0.1
l2arctic_BWC_arctic_a0047,Mandarin,,Close beside him gleamed the white fangs of the wolf dog,clothes beside him gleamed the white front of the wolf dog.,clothes beside him gleamed the white front of the wolf dog.,False,0.18181818181818182,0.18181818181818182
l2arctic_BWC_arctic_a0048,Mandarin,,He looked at the handkerchief more closely,he looked at the hanker shift more closely,he looked at the hanker shift more closely,False,0.2857142857142857,0.2857142857142857
l2arctic_BWC_arctic_a0051,Mandarin,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow.","The face was a delicate emerald color, faintly tinted with yellow.",False,0.25,0.25
l2arctic_BWC_arctic_a0052,Mandarin,,It was a curious coincidence,It was a curious coincidence.,It was a curious coincidence.,False,0.0,0.0
l2arctic_BWC_arctic_a0053,Mandarin,,Suddenly his fingers closed tightly over the handkerchief,"shallowly, his fingers close tightly over the handkerchief.","shallowly, his fingers close tightly over the handkerchief.",False,0.25,0.25
l2arctic_BWC_arctic_a0058,Mandarin,,I came for information more out of curiosity than anything else,I came for information more out of curiosity than anything else.,I came for information more out of curiosity than anything else.,False,0.0,0.0
l2arctic_BWC_arctic_a0063,Mandarin,,Yes it was a man who asked a stranger,"Yes, it was a man who asked a stranger.","Yes, it was a man who asked a stranger.",False,0.0,0.0
l2arctic_BWC_arctic_a0065,Mandarin,,They closed now until his fingers were like cords of steel,Stay close now until his fingers were little cord of steel.,Stay close now until his fingers were little cord of steel.,False,0.36363636363636365,0.36363636363636365
l2arctic_BWC_arctic_a0071,Mandarin,,What was the object of your little sensation,What was the object of your little sensation?,What was the object of your little sensation?,False,0.0,0.0
l2arctic_BWC_arctic_a0075,Mandarin,,There has been a change she interrupted him,"There has been a change, she interrupt him.","There has been a change, she interrupt him.",False,0.125,0.125
l2arctic_BWC_arctic_a0076,Mandarin,,The gray eyes faltered the flush deepened,"the grid as filtered, the flow deepened.","the grid as filtered, the flow deepened.",False,0.5714285714285714,0.5714285714285714
l2arctic_EBVS_arctic_a0003,Spanish,,For the twentieth time that evening the two men shook hands,"For the 20th time that evening, the two men shook hands.","For the 20th time that evening, the two men shook hands.",False,0.09090909090909091,0.09090909090909091
l2arctic_EBVS_arctic_a0006,Spanish,,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I'll go on seeing them forever.,God bless them. I hope I'll go on seeing them forever.,False,0.09090909090909091,0.09090909090909091
l2arctic_EBVS_arctic_a0008,Spanish,,Gad your letter came just in time,"God, your letter comes just in time.","God, your letter comes just in time.",False,0.2857142857142857,0.2857142857142857
l2arctic_EBVS_arctic_a0011,Spanish,,If I ever needed a fighter in my life I need one now,"If I ever needed a fighter in my life, I needed one now.","If I ever needed a fighter in my life, I needed one now.",False,0.07692307692307693,0.07692307692307693
l2arctic_EBVS_arctic_a0020,Spanish,,Clubs and balls and cities grew to be only memories,Clubs and boards and cities grow to be only memories.,Clubs and boards and cities grow to be only memories.,False,0.2,0.2
l2arctic_EBVS_arctic_a0022,Spanish,,Hardly were our plans made public before we were met by powerful opposition,Hardly were our plans made public before we were met by powerful opposition.,Hardly were our plans made public before we were met by powerful opposition.,False,0.0,0.0
l2arctic_EBVS_arctic_a0024,Spanish,,It was my reports from the north which chiefly induced people to buy,It was my report from the north which chiefly induced people to buy.,It was my report from the north which chiefly induced people to buy.,False,0.07692307692307693,0.07692307692307693
l2arctic_EBVS_arctic_a0028,Spanish,,Robbery bribery fraud,"robbery, bribery, fraud.","robbery, bribery, fraud.",False,0.0,0.0
l2arctic_EBVS_arctic_a0029,Spanish,,Their forces were already moving into the north country,their forces were already moving into the North Country.,their forces were already moving into the North Country.,False,0.0,0.0
l2arctic_EBVS_arctic_a0030,Spanish,,I had faith in them,I had faith in them.,I had faith in them.,False,0.0,0.0
l2arctic_EBVS_arctic_a0031,Spanish,,They were three hundred yards apart,they were 300 yards apart,they were 300 yards apart,False,0.3333333333333333,0.3333333333333333
l2arctic_EBVS_arctic_a0032,Spanish,,Since then some mysterious force has been fighting us at every step,Since then some mysterious force has been fighting us at every step.,Since then some mysterious force has been fighting us at every step.,False,0.0,0.0
l2arctic_EBVS_arctic_a0038,Spanish,,We'll have to watch our chances,we'll have to watch our chances.,we'll have to watch our chances.,False,0.0,0.0
l2arctic_EBVS_arctic_a0039,Spanish,,The ship should be in within a week or ten days,the shift should be in within a week or 10 days.,the shift should be in within a week or 10 days.,False,0.18181818181818182,0.18181818181818182
l2arctic_EBVS_arctic_a0040,Spanish,,I suppose you wonder why she is coming up here,I suppose you wonder why she is coming up here,I suppose you wonder why she is coming up here,False,0.0,0.0
l2arctic_EBVS_arctic_a0042,Spanish,,How could he explain his possession of the sketch,How could he explain his position of the sketch?,How could he explain his position of the sketch?,False,0.1111111111111111,0.1111111111111111
l2arctic_EBVS_arctic_a0045,Spanish,,He moved away as quickly as he had come,He moved it away as quickly as he had come.,He moved it away as quickly as he had come.,False,0.1111111111111111,0.1111111111111111
l2arctic_EBVS_arctic_a0046,Spanish,,The girl faced him her eyes shining with sudden fear,"The girl faces him, her eyes shining with sudden fear.","The girl faces him, her eyes shining with sudden fear.",False,0.1,0.1
l2arctic_EBVS_arctic_a0047,Spanish,,Close beside him gleamed the white fangs of the wolf dog,Close beside him glimmered the white fangs of the wolf dog.,Close beside him glimmered the white fangs of the wolf dog.,False,0.09090909090909091,0.09090909090909091
l2arctic_EBVS_arctic_a0051,Spanish,,The lace was of a delicate ivory color faintly tinted with yellow,"The lady was of a delicate ivory color, faintly tinted with yellow.","The lady was of a delicate ivory color, faintly tinted with yellow.",False,0.08333333333333333,0.08333333333333333
l2arctic_EBVS_arctic_a0052,Spanish,,It was a curious coincidence,It was a curious coincidence.,It was a curious coincidence.,False,0.0,0.0
l2arctic_EBVS_arctic_a0054,Spanish,,There was nothing on the rock,There was nothing on the rock.,There was nothing on the rock.,False,0.0,0.0
l2arctic_EBVS_arctic_a0058,Spanish,,I came for information more out of curiosity than anything else,I came for information more out of curiosity than anything else.,I came for information more out of curiosity than anything else.,False,0.0,0.0
l2arctic_EBVS_arctic_a0067,Spanish,,Surely I will excuse you she cried,"Thirdly, I will excuse you. She cried.","Thirdly, I will excuse you. She cried.",False,0.14285714285714285,0.14285714285714285
l2arctic_EBVS_arctic_a0073,Spanish,,The promoter's eyes were heavy with little puffy bags under them,The promoter's eyes were happy with little puffy bugs under them.,The promoter's eyes were happy with little puffy bugs under them.,False,0.18181818181818182,0.18181818181818182
l2arctic_EBVS_arctic_a0076,Spanish,,The gray eyes faltered the flush deepened,"The grey is faltered, the flash deepens.","The grey is faltered, the flash deepens.",False,0.5714285714285714,0.5714285714285714
l2arctic_HJK_arctic_a0003,Korean,,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands.,for the 20th time that evening the two men shook hands.,False,0.09090909090909091,0.09090909090909091
l2arctic_HJK_arctic_a0005,Korean,,Will we ever forget it,Will we ever forget it?,Will we ever forget it?,False,0.0,0.0
l2arctic_HJK_arctic_a0007,Korean,,And you always want to see it in the superlative degree,And you always want to see it in the spirulative degree.,And you always want to see it in the spirulative degree.,False,0.09090909090909091,0.09090909090909091
l2arctic_HJK_arctic_a0008,Korean,,Gad your letter came just in time,Get your letter came just in time.,Get your letter came just in time.,False,0.14285714285714285,0.14285714285714285
l2arctic_HJK_arctic_a0011,Korean,,If I ever needed a fighter in my life I need one now,"If I ever needed a fighter in my life, I need one now.","If I ever needed a fighter in my life, I need one now.",False,0.0,0.0
l2arctic_HJK_arctic_a0019,Korean,,I followed the line of the proposed railroad looking for chances,"I followed the line of the proposed railroad, looking for chances.","I followed the line of the proposed railroad, looking for chances.",False,0.0,0.0
l2arctic_HJK_arctic_a0020,Korean,,Clubs and balls and cities grew to be only memories,Clops and balls and cities grew to be only memories.,Clops and balls and cities grew to be only memories.,False,0.1,0.1
l2arctic_HJK_arctic_a0023,Korean,,A combination of Canadian capital quickly organized and petitioned for the same privileges,A combination of Canadian capital quickly organized and petitioned for the same privileges.,A combination of Canadian capital quickly organized and petitioned for the same privileges.,False,0.0,0.0
l2arctic_HJK_arctic_a0026,Korean,,It occurred to me that there would have to be an accounting,It occurred to me that there would have to be an accounting.,It occurred to me that there would have to be an accounting.,False,0.0,0.0
l2arctic_HJK_arctic_a0030,Korean,,I had faith in them,I had faith in them.,I had faith in them.,False,0.0,0.0
l2arctic_HJK_arctic_a0031,Korean,,They were three hundred yards apart,They were 300 yards apart.,They were 300 yards apart.,False,0.3333333333333333,0.3333333333333333
l2arctic_HJK_arctic_a0037,Korean,,I was the only one who remained sitting,I was the only one who remained sitting.,I was the only one who remained sitting.,False,0.0,0.0
l2arctic_HJK_arctic_a0038,Korean,,We'll have to watch our chances,We'll have to watch our chances.,We'll have to watch our chances.,False,0.0,0.0
l2arctic_HJK_arctic_a0040,Korean,,I suppose you wonder why she is coming up here,I suppose you wonder why she is coming up here.,I suppose you wonder why she is coming up here.,False,0.0,0.0
l2arctic_HJK_arctic_a0041,Korean,,Meanwhile I'll go out to breathe a spell,"Meanwhile, I will go out to breathe a spell.","Meanwhile, I will go out to breathe a spell.",False,0.25,0.25
l2arctic_HJK_arctic_a0042,Korean,,How could he explain his possession of the sketch,How could he explain his possession of the sketch?,How could he explain his possession of the sketch?,False,0.0,0.0
l2arctic_HJK_arctic_a0045,Korean,,He moved away as quietly as he had come,He moved away as quietly as he had come.,He moved away as quietly as he had come.,False,0.0,0.0
l2arctic_HJK_arctic_a0046,Korean,,The girl faced him her eyes shining with sudden fear,"The girl faced him, her eyes shining with sudden fear.","The girl faced him, her eyes shining with sudden fear.",False,0.0,0.0
l2arctic_HJK_arctic_a0047,Korean,,Close beside him gleamed the white fangs of the wolf dog,Close beside him gleamed of the white fangs of the wolf dog.,Close beside him gleamed of the white fangs of the wolf dog.,False,0.09090909090909091,0.09090909090909091
l2arctic_HJK_arctic_a0051,Korean,,The lace was of a delicate ivory color faintly tinted with yellow,"The lace was of a delicate ivory color, faintly tinted with yellow.","The lace was of a delicate ivory color, faintly tinted with yellow.",False,0.0,0.0
l2arctic_HJK_arctic_a0054,Korean,,There was nothing on the rock,There was nothing on the rock.,There was nothing on the rock.,False,0.0,0.0
l2arctic_HJK_arctic_a0058,Korean,,I came for information more out of curiosity than anything else,I came for information more out of curiosity than anything else.,I came for information more out of curiosity than anything else.,False,0.0,0.0
l2arctic_HJK_arctic_a0059,Korean,,His immaculate appearance was gone,His immaculate appearance was gone.,His immaculate appearance was gone.,False,0.0,0.0
